Prices,Area,toFace,type,certificate,width,length,floors,Latitude,Longitude,Street,Ward,District,distance_to_beach,distance_to_center,distance_to_airport,log_prices,log_area,log_floors,log_width,log_length,log_distance_to_beach,log_distance_to_center
3.55,75.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,15.0,2,16.0209382,108.2085527, Nguyễn Nho Túy,Khuê Trung,cẩm lệ,6.408548915209292,4.2982891399878405,4.0637579306465055,1.2669476034873244,4.31748811353631,0.6931471805599453,1.6094379124341003,2.70805020110221,1.8576328670226658,1.4582170691050553
14.0,90.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,7.0,15.0,2,16.0138538,108.1958513, Cách Mạng Tháng 8,Hòa Thọ Đông,cẩm lệ,7.905836607919737,5.343723328342092,4.853666284353989,2.6390573296152584,4.499809670330265,0.6931471805599453,1.9459101490553132,2.70805020110221,2.0676012978154645,1.6759226625030326
24.0,50.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,15.0,17.0,2,16.0086953,108.2188325, Võ Chí Công,Hòa Xuân,cẩm lệ,6.936356435136482,5.692597833674528,5.641274190414564,3.1780538303479458,3.912023005428146,0.6931471805599453,2.70805020110221,2.833213344056216,1.9367766273067222,1.7391667052243271
3.85,126.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,6.0,21.0,2,16.0112356,108.2002191, Bình Thái 4,Hòa Thọ Đông,cẩm lệ,7.804217058592689,5.496878681377828,5.095032287792605,1.3480731482996928,4.836281906951478,0.6931471805599453,1.791759469228055,3.044522437723423,2.054664236135306,1.7041804186655087
2.85,100.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,20.0,2,15.9794185,108.2192149, Liêm Lạc 15,Hòa Xuân,cẩm lệ,9.932408855337153,8.916987728385154,8.789450540140587,1.0473189942805592,4.605170185988092,0.6931471805599453,1.6094379124341003,2.995732273553991,2.2958030322574814,2.1879581909473718
4.3,90.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,18.0,3,16.0190372,108.2057322, Trương Quang Giao,Khuê Trung,cẩm lệ,6.765379771239815,4.540180098492836,4.237713596545324,1.4586150226995167,4.499809670330265,1.0986122886681098,1.6094379124341003,2.8903717578961645,1.911818397702645,1.5129666805380018
3.3,100.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,20.0,2,15.9992464,108.2116823, Đô Đốc Tuyết,Hòa Xuân,cẩm lệ,8.215806830890585,6.685949227526858,6.487185031815344,1.1939224684724346,4.605170185988092,0.6931471805599453,1.6094379124341003,2.995732273553991,2.1060599610171673,1.9000081941202636
11.0,140.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5.9,25.0,1,16.0241244,108.2171347, Cách Mạng Tháng 8,Khuê Trung,cẩm lệ,5.562607019073472,3.976662923297844,3.9759391368219577,2.3978952727983707,4.941642422609304,0.0,1.7749523509116738,3.2188758248682006,1.7160668866912792,1.3804430061079553
4.2,145.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,6.0,24.0,3,16.0117393,108.1982179, Nguyễn Nhàn,Hòa Thọ Đông,cẩm lệ,7.903302811120536,5.494613663834648,5.055019746732804,1.4350845252893227,4.976733742420574,1.0986122886681098,1.791759469228055,3.1780538303479458,2.0672807494600183,1.7037682785294648
4.3,135.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5.4,25.0,2,16.0154633,108.2036738, Bình Thái 3,Hòa Thọ Đông,cẩm lệ,7.208361744855669,4.965169458553947,4.621729814299202,1.4586150226995167,4.90527477843843,0.6931471805599453,1.6863989535702288,3.2188758248682006,1.975241705624933,1.602447427539865
4.9,125.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,25.0,2,16.0240456,108.2103341, Nguyễn Trung Ngạn,Khuê Trung,cẩm lệ,6.023948747153598,3.944180730095847,3.761377119367541,1.589235205116581,4.8283137373023015,0.6931471805599453,1.6094379124341003,3.2188758248682006,1.795742982352766,1.372241259751312
20.0,310.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,11.2,26.0,3,16.0241244,108.2171347, Cách Mạng Tháng 8,Khuê Trung,cẩm lệ,5.562607019073472,3.976662923297844,3.9759391368219577,2.995732273553991,5.736572297479192,1.0986122886681098,2.4159137783010487,3.258096538021482,1.7160668866912792,1.3804430061079553
5.4,90.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,18.0,2,16.0277607,108.2121296, Trần Kim Bảng,Khuê Trung,cẩm lệ,5.5899031392691,3.5309748773522127,3.413365163948269,1.6863989535702288,4.499809670330265,0.6931471805599453,1.6094379124341003,2.8903717578961645,1.7209619595158294,1.2615740020390955
3.9,120.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,24.0,2,16.0212756,108.2004817, Bùi Vịnh,Hòa Thọ Đông,cẩm lệ,6.975815789478457,4.412896672312063,3.984146342579829,1.3609765531356006,4.787491742782046,0.6931471805599453,1.6094379124341003,3.1780538303479458,1.9424492799332629,1.4845313156267184
4.1,100.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,20.0,2,16.0203761,108.204959, Trần Huy Liệu,Khuê Trung,cẩm lệ,6.710885434355904,4.406181976639599,4.084206801768412,1.410986973710262,4.605170185988092,0.6931471805599453,1.6094379124341003,2.995732273553991,1.9037308997080646,1.4830085495335108
3.75,100.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,20.0,3,15.9992464,108.2116823, Đô Đốc Tuyết,Hòa Xuân,cẩm lệ,8.215806830890585,6.685949227526858,6.487185031815344,1.3217558399823195,4.605170185988092,1.0986122886681098,1.6094379124341003,2.995732273553991,2.1060599610171673,1.9000081941202636
2.85,100.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,20.0,2,15.9826151,108.2196458, Liêm Lạc 21,Hòa Xuân,cẩm lệ,9.58169391243945,8.56926792618709,8.453068542238507,1.0473189942805592,4.605170185988092,0.6931471805599453,1.6094379124341003,2.995732273553991,2.259854393934789,2.1481823061123015
2.85,60.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,4.0,15.0,1,16.0249026,108.2137169, Bình Hòa 2,Khuê Trung,cẩm lệ,5.717296127067109,3.8532678442169193,3.766419272085646,1.0473189942805592,4.0943445622221,0.0,1.3862943611198906,2.70805020110221,1.7434959885732517,1.3489215789862614
2.8,90.0,Không,Nhà trong hẻm,Giấy tờ hợp lệ,5.0,18.0,2,16.0151267,108.2044735, Ông Ích Đường,Hòa Thọ Đông,cẩm lệ,7.181439370379863,4.987992051813158,4.661734955715325,1.0296194171811581,4.499809670330265,0.6931471805599453,1.6094379124341003,2.8903717578961645,1.9714998323810624,1.607033434354844
3.15,110.0,Không,Nhà trong hẻm,Giấy tờ hợp lệ,9.0,12.0,1,16.0138538,108.1958513, Cách Mạng Tháng 8,Hòa Thọ Đông,cẩm lệ,7.905836607919737,5.343723328342092,4.853666284353989,1.1474024528375417,4.700480365792417,0.0,2.1972245773362196,2.4849066497880004,2.0676012978154645,1.6759226625030326
6.7,110.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,22.0,3,16.0063777,108.2078822, Phạm Hùng,Hòa Xuân,cẩm lệ,7.742359078689389,5.910516326332974,5.653504684737835,1.9021075263969205,4.700480365792417,1.0986122886681098,1.6094379124341003,3.091042453358316,2.0467064316907835,1.776733192463675
