area,price,num_of_stories,num_of_bedrooms,num_of_toilets
100.0,5.9,3.0,3.0,3.0
90.0,6.3,3.0,5.0,4.0
85.0,3.9,2.0,3.0,2.0
85.5,4.69,2.0,2.0,1.0
54.0,8.1,2.0,2.0,2.0
77.5,8.9,2.0,2.0,2.0
105.0,15.99,3.0,5.0,4.0
60.0,3.8,3.0,3.0,3.0
100.0,4.95,3.0,3.0,3.0
100.0,10.5,3.0,4.0,3.0
50.0,2.5,2.0,3.0,3.0
106.0,4.6,3.0,4.0,3.0
60.0,3.78,3.0,4.0,2.0
100.0,15.0,3.0,4.0,4.0
112.5,2.8,1.0,2.0,1.0
105.0,6.2,3.0,3.0,3.0
105.0,9.6,3.0,4.0,4.0
92.5,7.3,3.0,4.0,4.0
75.0,7.25,4.0,4.0,5.0
100.0,2.9,2.0,3.0,2.0
100.0,2.9,2.0,3.0,2.0
100.0,15.0,4.0,5.0,4.0
90.0,5.28,4.0,4.0,5.0
65.0,4.6,3.0,3.0,3.0
43.0,3.7,2.0,2.0,2.0
43.0,2.98,3.0,4.0,3.0
76.0,4.7,2.0,3.0,2.0
80.0,7.0,3.0,3.0,2.0
94.6,5.3,3.0,3.0,3.0
94.6,5.3,3.0,3.0,3.0
161.4,8.55,1.0,3.0,2.0
100.0,11.0,3.0,3.0,3.0
95.0,2.1,2.0,2.0,2.0
107.0,6.15,2.0,4.0,3.0
115.0,10.5,2.0,5.0,5.0
73.2,4.58,2.0,3.0,3.0
73.2,4.58,2.0,3.0,3.0
142.0,7.6,2.0,3.0,2.0
86.8,8.0,3.0,3.0,4.0
142.0,7.6,2.0,3.0,2.0
86.8,8.0,3.0,3.0,4.0
90.0,4.7,3.0,3.0,3.0
108.0,15.336,3.0,5.0,6.0
65.0,4.39,3.0,4.0,4.0
100.0,3.15,1.0,4.0,4.0
67.0,2.85,2.0,2.0,2.0
82.0,4.3,2.0,2.0,2.0
73.0,3.49,2.0,3.0,2.0
94.0,2.7,1.0,2.0,2.0
73.0,3.49,2.0,3.0,2.0
94.0,2.7,1.0,2.0,2.0
96.0,5.9,2.0,3.0,3.0
95.0,9.5,3.0,4.0,3.0
90.0,9.2,3.0,4.0,4.0
98.0,5.5,1.0,2.0,2.0
61.0,3.5,3.0,5.0,5.0
90.0,7.2,2.0,4.0,2.0
75.0,9.0,3.0,4.0,4.0
95.0,6.4,4.0,5.0,5.0
120.0,12.7,4.0,5.0,5.0
85.0,5.75,4.0,4.0,6.0
74.3,7.2,3.0,3.0,1.0
100.0,8.5,3.0,5.0,5.0
95.0,6.6,2.0,5.0,4.0
100.0,6.7,3.0,4.0,4.0
66.3,3.95,3.0,3.0,4.0
82.0,13.0,2.0,3.0,3.0
65.0,4.3,3.0,4.0,3.0
65.4,5.7,3.0,3.0,3.0
70.0,6.2,3.0,4.0,3.0
84.0,8.3,3.0,4.0,4.0
100.0,4.9,3.0,4.0,3.0
100.0,4.9,3.0,4.0,3.0
100.0,1.55,1.0,2.0,1.0
180.0,7.5,1.0,2.0,3.0
90.0,6.5,3.0,4.0,4.0
133.0,8.2,2.0,3.0,2.0
78.0,8.3,3.0,3.0,4.0
75.0,4.38,3.0,4.0,3.0
70.0,5.59,3.0,3.0,3.0
85.0,5.5,2.0,2.0,2.0
125.0,4.6,1.0,5.0,5.0
118.0,6.8,4.0,5.0,4.0
50.0,8.0,3.0,4.0,4.0
100.0,4.6,2.0,4.0,3.0
81.0,6.0,3.0,3.0,3.0
125.0,7.2,3.0,3.0,3.0
95.0,7.2,3.0,4.0,3.0
90.0,3.4,2.0,3.0,3.0
70.0,12.8,3.0,3.0,3.0
123.0,5.6,1.0,4.0,4.0
45.0,4.5,2.0,3.0,2.0
80.0,5.1,3.0,3.0,4.0
100.0,6.0,3.0,3.0,3.0
136.0,7.5,2.0,3.0,2.0
72.0,3.79,2.0,3.0,2.0
95.0,6.4,4.0,5.0,5.0
90.0,7.8,2.0,3.0,2.0
90.0,4.1,2.0,3.0,2.0
100.0,4.7,3.0,3.0,3.0
108.0,16.416,3.0,4.0,5.0
108.0,16.5,3.0,4.0,5.0
100.0,10.5,3.0,4.0,4.0
150.0,12.49,1.0,3.0,2.0
73.0,4.58,2.0,3.0,2.0
106.0,13.0,4.0,3.0,3.0
83.0,4.95,3.0,3.0,4.0
105.0,4.35,2.0,3.0,2.0
51.0,7.5,4.0,4.0,4.0
105.0,4.5,2.0,5.0,5.0
70.0,5.5,2.0,3.0,2.0
54.0,4.8,3.0,3.0,4.0
135.5,2.95,1.0,2.0,1.0
84.0,6.25,2.0,4.0,4.0
34.0,2.25,3.0,2.0,2.0
73.0,7.6,2.0,2.0,2.0
60.0,3.95,3.0,3.0,3.0
25.0,1.95,2.0,2.0,2.0
63.0,7.9,1.0,2.0,1.0
82.0,5.15,2.0,4.0,3.0
80.0,5.6,3.0,3.0,3.0
100.0,11.0,3.0,3.0,4.0
93.0,9.5,2.0,2.0,3.0
160.0,10.5,1.0,2.0,1.0
125.0,4.85,3.0,3.0,2.0
40.0,2.95,3.0,2.0,3.0
106.0,13.0,4.0,3.0,3.0
108.6,10.5,4.0,4.0,4.0
67.0,3.9,2.0,2.0,3.0
36.0,3.25,2.0,2.0,2.0
95.0,9.9,4.0,5.0,5.0
152.0,10.5,3.0,3.0,2.0
67.0,3.05,2.0,3.0,3.0
150.0,10.0,2.0,4.0,3.0
95.0,7.2,3.0,4.0,3.0
60.0,3.6,3.0,4.0,3.0
42.0,1.9,2.0,3.0,2.0
140.0,14.98,3.0,5.0,6.0
52.0,4.95,2.0,2.0,2.0
82.0,13.99,4.0,4.0,4.0
40.0,2.95,2.0,3.0,3.0
95.0,6.4,4.0,5.0,5.0
140.0,6.9,2.0,5.0,4.0
160.0,7.2,2.0,3.0,3.0
124.0,8.2,4.0,4.0,4.0
114.0,16.0,3.0,3.0,4.0
120.0,11.6,4.0,3.0,3.0
100.0,4.0,3.0,3.0,3.0
55.0,3.9,2.0,2.0,1.0
50.0,3.25,2.0,3.0,2.0
56.0,5.5,1.0,2.0,2.0
106.0,13.0,4.0,3.0,3.0
120.0,5.4,2.0,3.0,2.0
40.0,1.95,2.0,2.0,2.0
50.0,2.05,2.0,2.0,2.0
130.0,15.0,2.0,3.0,3.0
82.0,7.6,3.0,3.0,4.0
50.0,3.1,2.0,3.0,3.0
105.0,7.05,3.0,3.0,4.0
81.0,11.5,4.0,3.0,3.0
54.1,5.7,3.0,3.0,3.0
75.0,2.8,3.0,3.0,3.0
80.0,5.6,3.0,5.0,4.0
123.0,10.5,1.0,3.0,1.0
100.0,4.75,2.0,3.0,2.0
100.0,4.0,3.0,3.0,3.0
87.0,12.4,3.0,3.0,3.0
43.0,2.98,4.0,3.0,3.0
47.0,3.45,2.0,3.0,3.0
90.0,3.65,2.0,3.0,3.0
60.0,3.75,3.0,3.0,3.0
60.0,7.6,3.0,3.0,2.0
80.0,5.1,3.0,3.0,3.0
100.0,7.0,3.0,5.0,5.0
80.0,6.7,3.0,3.0,3.0
66.0,3.88,3.0,2.0,2.0
100.0,13.0,3.0,3.0,3.0
116.0,12.0,3.0,4.0,3.0
73.0,11.2,4.0,4.0,4.0
92.5,7.29,3.0,4.0,4.0
94.0,10.5,3.0,4.0,4.0
83.0,6.7,3.0,3.0,3.0
52.0,4.9,1.0,2.0,1.0
40.6,2.2,2.0,2.0,2.0
126.0,5.09,1.0,4.0,4.0
75.0,7.6,4.0,4.0,4.0
100.0,7.8,3.0,3.0,3.0
100.0,5.6,3.0,3.0,3.0
126.0,7.3,3.0,5.0,5.0
55.1,6.8,3.0,3.0,3.0
76.0,7.25,4.0,3.0,5.0
112.7,2.8,1.0,2.0,2.0
70.0,4.2,3.0,3.0,3.0
100.0,6.65,2.0,3.0,2.0
100.0,8.0,3.0,3.0,3.0
90.0,5.29,4.0,4.0,5.0
120.0,7.8,4.0,4.0,3.0
80.0,5.2,3.0,3.0,3.0
83.3,5.9,4.0,4.0,4.0
100.0,4.35,2.0,2.0,2.0
81.0,5.6,3.0,3.0,4.0
90.0,1.73,1.0,5.0,5.0
78.0,8.2,3.0,3.0,4.0
80.0,8.1,3.0,3.0,4.0
135.0,16.2,2.0,3.0,2.0
98.0,2.75,1.0,2.0,1.0
75.0,7.2,2.0,2.0,3.0
125.0,4.7,2.0,3.0,2.0
151.0,5.4,2.0,3.0,2.0
100.0,5.5,3.0,3.0,3.0
114.0,2.79,1.0,3.0,2.0
95.0,7.6,3.0,3.0,3.0
125.0,5.4,2.0,3.0,2.0
52.0,9.7,4.0,4.0,4.0
92.0,5.0,1.0,2.0,2.0
70.0,4.4,3.0,5.0,5.0
76.0,3.3,3.0,3.0,4.0
61.4,3.79,2.0,3.0,3.0
94.6,5.3,3.0,3.0,3.0
95.0,4.0,1.0,3.0,1.0
105.0,8.2,3.0,4.0,5.0
60.0,3.9,3.0,3.0,3.0
45.0,9.0,2.0,2.0,1.0
95.0,5.4,2.0,4.0,2.0
60.0,4.35,2.0,2.0,2.0
85.0,6.45,3.0,3.0,4.0
72.0,5.69,3.0,3.0,4.0
95.0,7.7,3.0,4.0,4.0
70.0,6.2,3.0,4.0,4.0
116.0,6.9,1.0,3.0,3.0
95.0,6.4,4.0,5.0,5.0
105.0,7.0,3.0,4.0,4.0
94.0,5.3,4.0,3.0,2.0
120.0,11.2,3.0,3.0,4.0
100.0,17.5,4.0,4.0,4.0
84.0,8.6,3.0,4.0,5.0
130.0,16.9,3.0,4.0,5.0
106.0,4.7,3.0,4.0,3.0
58.0,13.0,4.0,4.0,4.0
100.0,4.37,2.0,2.0,2.0
140.0,7.5,3.0,4.0,5.0
100.0,4.6,2.0,4.0,4.0
108.0,15.8,3.0,3.0,4.0
42.0,1.85,2.0,2.0,2.0
84.0,4.35,2.0,3.0,2.0
64.0,8.5,4.0,3.0,3.0
105.0,3.8,1.0,2.0,1.0
75.0,7.55,2.0,3.0,2.0
72.9,11.2,4.0,2.0,2.0
70.0,4.9,3.0,4.0,3.0
120.0,10.3,3.0,5.0,3.0
155.0,10.8,3.0,4.0,5.0
85.0,5.95,3.0,3.0,4.0
80.0,5.3,2.0,3.0,3.0
125.0,8.2,4.0,3.0,4.0
100.0,3.35,2.0,3.0,2.0
95.0,7.7,3.0,3.0,3.0
100.0,5.4,4.0,4.0,4.0
90.0,12.5,3.0,3.0,3.0
95.0,5.3,3.0,3.0,3.0
63.0,5.5,3.0,3.0,3.0
115.0,10.5,2.0,3.0,3.0
102.0,8.0,2.0,3.0,3.0
78.7,8.7,3.0,4.0,3.0
60.1,3.45,3.0,4.0,3.0
97.7,3.15,2.0,3.0,2.0
80.0,5.59,3.0,3.0,4.0
52.7,2.65,1.0,2.0,2.0
132.6,8.2,2.0,3.0,2.0
45.0,2.69,2.0,2.0,2.0
121.0,5.3,2.0,3.0,3.0
98.3,8.9,3.0,3.0,3.0
70.0,5.5,3.0,3.0,3.0
84.0,6.8,3.0,3.0,3.0
90.0,7.9,2.0,4.0,3.0
90.0,7.9,2.0,4.0,3.0
52.0,4.7,2.0,2.0,2.0
198.0,14.3,3.0,5.0,5.0
100.0,3.99,3.0,3.0,3.0
56.2,10.5,2.0,3.0,2.0
95.0,7.65,3.0,3.0,3.0
80.0,11.9,3.0,3.0,3.0
167.0,7.65,2.0,3.0,2.0
116.0,6.25,3.0,3.0,4.0
100.0,4.25,1.0,2.0,1.0
81.0,7.0,3.0,3.0,3.0
120.0,11.5,3.0,5.0,5.0
83.0,2.7,1.0,2.0,1.0
90.0,6.6,1.0,4.0,4.0
40.0,2.95,2.0,2.0,2.0
106.0,12.99,4.0,3.0,4.0
56.0,3.6,3.0,4.0,3.0
85.0,5.2,2.0,2.0,2.0
125.0,6.5,2.0,4.0,2.0
90.0,5.5,2.0,3.0,2.0
67.5,9.5,2.0,3.0,2.0
100.0,4.4,3.0,3.0,3.0
55.0,5.6,3.0,3.0,3.0
70.0,6.0,3.0,3.0,3.0
98.0,7.2,3.0,5.0,5.0
99.0,9.0,2.0,3.0,3.0
100.0,6.35,4.0,5.0,5.0
100.0,6.35,3.0,5.0,5.0
135.0,4.48,3.0,3.0,4.0
95.0,7.69,3.0,3.0,3.0
