price,area,road_width,floors,bedroom,loc,garage
": 2,98 tỷ","60 m
2",3m,2 lầu,2 phòng ngủ,"Đường Nguyễn Công Trứ, Phường An Hải Bắc, Quận Sơn Trà,",0
": 9,6 tỷ","180 m
2",4m,1 lầu,1 phòng ngủ,"Đường Tô Hiến Thành, Phường Phước Mỹ, Quận Sơn Trà,",chỗ để xe
": 13,5 tỷ","51 m
2","7,5m",4 lầu,3 phòng ngủ,"Đường Hàm Nghi, Phường Thạc Gián, Quận Thanh Khê,",chỗ để xe
": 4,2 tỷ","90 m
2","5,5m",1 lầu,2 phòng ngủ,"Đường Nguyễn Đăng Tuyển, Phường Thọ Quang, Quận Sơn Trà,",chỗ để xe
": 4,25 tỷ","65 m
2","7,5m",3 lầu,4 phòng ngủ,"Đường Nguyễn Như Hạnh, Phường Hòa Minh, Quận Liên Chiểu,",chỗ để xe
": 5,65 tỷ","140 m
2","4,5m",3 lầu,4 phòng ngủ,"Đường Nguyễn Phước Nguyên, Phường An Khê, Quận Thanh Khê,",chỗ để xe
": 6,2 tỷ","70 m
2","5,5m",3 lầu,4 phòng ngủ,"Đường Lưu Trọng Lư, Phường Hòa Cường Nam, Quận Hải Châu,",chỗ để xe
": 5,9 tỷ","85 m
2","5,5m",2 lầu,3 phòng ngủ,"Đường Bình An 7, Phường Hòa Cường Bắc, Quận Hải Châu,",chỗ để xe
": 4,6 tỷ","60 m
2",4m,4 lầu,4 phòng ngủ,"Đường Bình An 7, Phường Hòa Cường Bắc, Quận Hải Châu,",chỗ để xe
": 6,2 tỷ","90 m
2","5,5m",3 lầu,4 phòng ngủ,"Đường Mỹ Đa Đông 8, Phường Mỹ An, Quận Ngũ Hành Sơn,",0
": 4,6 tỷ","60 m
2",4m,4 lầu,4 phòng ngủ,"Đường Bình An 7, Phường Hòa Cường Bắc, Quận Hải Châu,",chỗ để xe
": 6,2 tỷ","90 m
2","5,5m",3 lầu,4 phòng ngủ,"Đường Mỹ Đa Đông 8, Phường Mỹ An, Quận Ngũ Hành Sơn,",0
": 2,68 tỷ","50 m
2","2,5m",2 lầu,3 phòng ngủ,"Đường Hà Huy Tập, Phường Hòa Khê, Quận Thanh Khê,",0
": 3,75 tỷ","105 m
2","4,5m",2 lầu,2 phòng ngủ,"Đường Phan Khoang, Phường Hòa An, Quận Cẩm Lệ,",chỗ để xe
": 2,65 tỷ","82 m
2","2,5m",2 lầu,2 phòng ngủ,"Đường Dũng Sĩ Thanh Khê, Phường Thanh Khê Tây, Quận Thanh Khê,",chỗ để xe
": 1,95 tỷ","40 m
2",2m,2 lầu,2 phòng ngủ,"Đường Điện Biên Phủ, Phường Chính Gián, Quận Thanh Khê,",chỗ để xe
": 14,5 tỷ","68 m
2","5,5m",5 lầu,4 phòng ngủ,"Đường An Thượng 6, Phường Mỹ An, Quận Ngũ Hành Sơn,",0
": 5,3 tỷ","170 m
2",5m,2 lầu,3 phòng ngủ,"Đường Trường Chinh, Phường Hòa Phát, Quận Cẩm Lệ,",0
": 3,57 tỷ","100 m
2",8m,2 lầu,3 phòng ngủ,"Đường Lê Đình Chinh, Phường Hòa Quý, Quận Ngũ Hành Sơn,",0
": 2,75 tỷ","60 m
2",2m,1 lầu,3 phòng ngủ,"Đường Phạm Ngũ Lão, Phường Hải Châu II, Quận Hải Châu,",0
": 5,2 tỷ","100 m
2","5,5m",2 lầu,3 phòng ngủ,"Đường Đa Mặn 7, Phường Khuê Mỹ, Quận Ngũ Hành Sơn,",chỗ để xe
: 35 tỷ,"314 m
2",35m,3 lầu,4 phòng ngủ,"Đường Tôn Đức Thắng, Phường Hòa Minh, Quận Liên Chiểu,",chỗ để xe
: 12 tỷ,"90 m
2",30m,2 lầu,3 phòng ngủ,"Đường Tôn Đức Thắng, Phường Hòa Minh, Quận Liên Chiểu,",0
": 7,75 tỷ","100 m
2","7,5m",4 lầu,7 phòng ngủ,"Đường Phạm Khiêm Ích, Phường Khuê Mỹ, Quận Ngũ Hành Sơn,",chỗ để xe
": 3,3 tỷ","183 m
2","2,5m",2 lầu,4 phòng ngủ,"Đường Ông Ích Đường, Phường Hòa Thọ Đông, Quận Cẩm Lệ,",0
": 5,9 tỷ","80 m
2","5,5m",3 lầu,3 phòng ngủ,"Đường Hà Huy Giáp, Phường Hòa Cường Nam, Quận Hải Châu,",chỗ để xe
": 2,35 tỷ","125 m
2",5m5m,1 lầu,2 phòng ngủ,"Đường Phạm Thị Lam Anh, Phường Hòa Khánh Nam, Quận Liên Chiểu,",chỗ để xe
": 4,73 tỷ","75 m
2","5,5m",2 lầu,4 phòng ngủ,"Đường Vũ Quỳnh, Phường Thanh Khê Tây, Quận Thanh Khê,",chỗ để xe
