Diện tích,Mức giá,Mặt tiền,Đường vào,Pháp lý,Latitude,Longitude,Hướng nhà,Hướng ban công,Số phòng ngủ,Số toilet,Số tầng,Nội thất
43 m²,Thỏa thuận,,,Sổ đỏ/ Sổ hồng,16.06861686706543,108.24445343017578,,,1 phòng,1 phòng,,Đầy đủ
114 m²,Thỏa thuận,"5,7 m",3 m,Sổ đỏ/ Sổ hồng.,16.084337,108.1507418,Đông - Bắc,Đông - Bắc,,,,Cơ bản.
160 m²,"23,5 tỷ","6,5 m",15 m,Sổ đỏ/ Sổ hồng,16.0798616,108.218156,Đông - Nam,Đông - Nam,3 phòng,4 phòng,3 tầng,
600 m²,180 tỷ,24 m,"7,5 m",Sổ đỏ/ Sổ hồng,16.0644493103027,108.233322143555,Đông,,,,,
100 m²,11 tỷ,5 m,"7,5 m",Sổ đỏ/ Sổ hồng,16.0644493103027,108.233322143555,Tây,Tây,4 phòng,4 phòng,3 tầng,Đầy đủ.
210 m²,55 tỷ,10 m,"7,5 m",Sổ đỏ/ Sổ hồng,,,Tây - Nam,Tây - Nam,57 phòng,58 phòng,10 tầng,
76 m²,"1,25 tỷ",5 m,"2,5 m",Sổ đỏ/ Sổ hồng,16.100002,108.1354234,Đông - Nam,Đông - Nam,,,,Không nội thất
100 m²,"17,5 tỷ",5 m,15 m,Sổ đỏ/ Sổ hồng,16.0597982,108.2304737,Đông,Đông,2 phòng,2 phòng,2 tầng,
150 m²,"9,3 tỷ","8,2 m","5,5 m",,16.0483438100875,108.238168990946,,,,,,
540 m²,85 tỷ,,20 m,Sổ đỏ/ Sổ hồng.,16.0493985,108.2208107,Đông,,,,,
300 m²,"42,5 tỷ",12 m,"7,5 m",Sổ đỏ/ Sổ hồng,16.0755114,108.2423258,Bắc,,,,,
114 m²,24 tỷ,5 m,"10,5 m",Sổ đỏ/ Sổ hồng,16.0726239,108.2430032,Đông,,,,,
118 m²,"16,5 tỷ",,"10,5 m",Sổ đỏ/ Sổ hồng,16.0392256546184,108.218044323895,Nam,Nam,6 phòng,6 phòng,4 tầng,Đầy đủ
55 m²,970 triệu,,,,16.077058792114258,108.1369400024414,,,2 phòng,2 phòng,,Full nội thất.
76 m²,"4,3 tỷ","4,12 m",3 m,Sổ đỏ/ Sổ hồng,16.0689095675252,108.209749486446,,,8 phòng,8 phòng,3 tầng,Cơ bản
114 m²,24 tỷ,5 m,"10,5 m",Sổ đỏ/ Sổ hồng,16.0726239,108.2430032,Đông,,,,,
118 m²,"16,5 tỷ",,"10,5 m",Sổ đỏ/ Sổ hồng,16.0392256546184,108.218044323895,Nam,Nam,6 phòng,6 phòng,4 tầng,Đầy đủ
55 m²,970 triệu,,,,16.077058792114258,108.1369400024414,,,2 phòng,2 phòng,,Full nội thất.
