Diện tích,Mức giá,Mặt tiền,Đường vào,Số tầng,Số phòng ngủ,Số toilet,Pháp lý,Nội thất,Hướng nhà,Hướng ban công,Longitude,Latitude
300 m²,Thỏa thuận,12 m,,,,,,,,,108.23332214355469,16.064449310302734
100 m²,"9,8 tỷ",5 m,"7,5 m",,,,,,,,108.233322143555,16.0644493103027
100 m²,"9,8 tỷ",5 m,"7,5 m",,,,,,,,108.233322143555,16.0644493103027
200 m²,40 tỷ,10 m,,,,,,,,,108.2304737,16.0597982
300 m²,Thỏa thuận,12 m,"7,5 m",,,,,,,,108.23332214355469,16.064449310302734
300 m²,"10,5 tỷ",12 m,"7,5 m",,,,Sổ đỏ/ Sổ hồng,,,,108.183652769131,16.0545139185191
150 m²,"7,5 tỷ",10 m,6 m,,,,Sổ đỏ/ Sổ hồng,,,,108.243287978141,16.0699536957891
405 m²,62 tỷ,"9,5 m","10,5 m",1 tầng,3 phòng,3 phòng,Sổ đỏ/ Sổ hồng.,,Tây,Tây,108.2205279,16.078669
129 m²,"1,35 tỷ",5 m,5 m,,,,Sổ đỏ/ Sổ hồng,,Đông - Nam,,108.2144229,16.0786496
90 m²,"5,5 tỷ",,,2 tầng,4 phòng,2 phòng,Giấy tờ pháp lý rõ ràng.,Đầy đủ,Bắc,,108.245054510186,16.0413326668025
120 m²,"6,7 tỷ",6 m,,2 tầng,3 phòng,3 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Đông - Nam,,108.246395531369,16.0422028206009
85 m²,7 tỷ,5 m,5 m,,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Tây - Nam,,108.245128698229,16.0560455298424
96 m²,"7,6 tỷ",5 m,48 m,,,,Sổ đỏ/ Sổ hồng,,Đông,,108.2573805,16.0096674
200 m²,"19,9 tỷ",10 m,"7,5 m",,4 phòng,5 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,,,108.2329271,16.0752273
400 m²,19 tỷ,20 m,"7,5 m",,,,Sổ đỏ/ Sổ hồng.,,,,108.2619325,16.1058655
104 m²,"4,1 tỷ",,,,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,,,108.220336914063,16.0802135467529
375 m²,"82,5 tỷ",15 m,30 m,,,,Sổ đỏ/ Sổ hồng,Không nội thất,Tây,Tây,108.228804925967,16.0835349061602
100 m²,"5,9 tỷ",5 m,"7,5 m",3 tầng,3 phòng,4 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Tây - Bắc,Tây - Bắc,108.219174,16.0066428
140 m²,"3,3 tỷ",5 m,"5,5 m",,,,Sổ đỏ/ Sổ hồng,,Đông,,108.1759834,16.0467034
125 m²,"16,2 tỷ",5 m,33 m,4 tầng,10 phòng,10 phòng,Sổ đỏ/ Sổ hồng.,,Tây,Tây,108.2102949,16.0384103
120 m²,"4,25 tỷ",5 m,"7,5 m",,,,Sổ đỏ/ Sổ hồng,,Đông - Nam,,108.1694393,16.0630206
160 m²,"5,7 tỷ",,,,,,Sổ đỏ/ Sổ hồng.,,Tây - Nam,,108.168359987977,16.0449270457478
103 m²,"3,7 tỷ",5 m,"7,5 m",,,,Sổ đỏ/ Sổ hồng.,,Tây - Nam,,108.1790096,16.0512245
85 m²,"14,2 tỷ",6 m,10 m,3 tầng,3 phòng,3 phòng,Sổ đỏ/ Sổ hồng,,Tây,Tây,108.2177412,16.0523269
328 m²,"52,4 tỷ","10,6 m","7,5 m",,,,Sổ đỏ/ Sổ hồng,,Đông,,108.2443389,16.0671719
125 m²,"12,3 tỷ",5 m,33 m,,,,Sổ đỏ/ Sổ hồng,,Tây - Bắc,,108.2109481,16.0804041
132 m²,"13,2 tỷ",5 m,33 m,4 tầng,18 phòng,18 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Đông - Bắc,Đông - Bắc,108.174609,16.077385
494 m²,"22,5 tỷ",,"7,5 m",,,,Sổ đỏ/ Sổ hồng,,Tây - Bắc,,108.241027832031,16.0173435211182
550 m²,46 tỷ,,,,,,Sổ đỏ/ Sổ hồng,Cơ bản,,,108.26374053955078,16.01302146911621
200 m²,25 tỷ,10 m,"7,5 m",3 tầng,4 phòng,5 phòng,Sổ đỏ/ Sổ hồng.,Cao cấp,Tây - Nam,Tây - Nam,108.2088378,16.0349777
400 m²,"13,7 tỷ",10 m,"7,5 m",,,,Sổ đỏ/ Sổ hồng,Đầy đủ,Đông - Bắc,,108.2221134,16.0099721
"93,3 m²","7,3 tỷ","5,7 m",5 m,,,,Sổ đỏ/ Sổ hồng,,Bắc,,108.247050058338,16.0454370348598
140 m²,"8,2 tỷ",7 m,10 m,,,,Sổ đỏ/ Sổ hồng,,Đông,,108.248802185059,16.0413417816162
125 m²,"3,9 tỷ",5 m,"5,5 m",,,,Sổ đỏ/ Sổ hồng.,,Bắc,,108.2595112,16.0113458
375 m²,41 triệu/m²,15 m,"7,5 m",,,,Sổ đỏ/ Sổ hồng,,Đông - Bắc,,108.152124946438,16.088401966441
"72,6 m²","3,85 tỷ",4 m,4 m,2 tầng,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,,Tây,,108.2163965,16.0448322
57 m²,"4,99 tỷ",8 m,6 m,3 tầng,3 phòng,4 phòng,Sổ đỏ/ Sổ hồng,Cơ bản,,,108.1816662,16.0603675
200 m²,14 tỷ,10 m,"7,5 m",3 tầng,4 phòng,5 phòng,Sổ đỏ/ Sổ hồng,,,,108.2400622,16.0294348
125 m²,"3,2 tỷ",5 m,"5,5 m",2 tầng,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng.,,Đông,Tây,108.26642034891,15.9944712048585
420 m²,29 triệu/m²,14 m,"7,5 m",,,,Sổ đỏ/ Sổ hồng,,Đông - Bắc,,108.252090454102,15.9832468032837
"419,8 m²",29 triệu/m²,14 m,"7,5 m",,,,Sổ đỏ/ Sổ hồng,,Đông - Bắc,,108.252090454102,15.9832468032837
68 m²,"1,98 tỷ",,,,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Cơ bản,Bắc,Nam,108.25209045410156,15.983246803283691
"419,8 m²",29 triệu/m²,14 m,"7,5 m",,,,Sổ đỏ/ Sổ hồng.,,Đông - Bắc,,108.25209045410156,15.983246803283691
108 m²,4 tỷ,6 m,"7,5 m",,,,Sổ đỏ/ Sổ hồng,,Tây,,108.263763427734,15.9752429144635
75 m²,Thỏa thuận,,,7 tầng,,,Sổ đỏ/ Sổ hồng,,,,108.240873670394,16.0671593885206
1.020 m²,36 tỷ,,,2 tầng,4 phòng,5 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,,,108.26590728759766,16.00696563720703
105 m²,"3,5 tỷ",5 m,"7,5 m",,,,Sổ đỏ/ Sổ hồng.,,Đông,,108.2680312,15.9899415
450 m²,"12,8 tỷ",,,1 tầng,3 phòng,3 phòng,Đang chờ sổ,Đầy nội thất.,,,108.269602872588,15.9930145478046
"111,6 m²","10,8 tỷ",15 m,,,,,Sổ đỏ/ Sổ hồng,,Đông - Bắc,,108.2693932,15.9869728
74 m²,"3,8 tỷ","4,07 m",33 m,1 tầng,1 phòng,1 phòng,Sổ đỏ/ Sổ hồng,Cơ bản,,,108.13544151791,16.0998322625409
100 m²,3 tỷ,5 m,"5,5 m",,,,Sổ đỏ/ Sổ hồng,,Đông,,108.26896,15.9808216
231 m²,"14,5 tỷ","8,4 m",,,,,Sổ đỏ/ Sổ hồng,Đầy đủ,,,108.245497561428,16.0420397166795
"66,6 m²","8,13 tỷ",,,,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Cơ bản,Bắc,,108.22355651855469,16.05558967590332
90 m²,"15,5 tỷ","4,5 m","10,5 m",4 tầng,5 phòng,5 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,,,108.2419739,16.0672606
65 m²,"5,3 tỷ",5 m,"7,5 m",,,,Sổ đỏ/ Sổ hồng.,,Đông - Nam,,108.206540709861,16.012978855888
155 m²,"7,19 tỷ",6 m,6 m,,,,Sổ đỏ/ Sổ hồng,Đầy đủ.,,,108.238991168007,16.0583012116553
"218,8 m²","43,69 tỷ",,,,,,Sổ đỏ/ Sổ hồng.,Đầy đủ.,Bắc,,108.22355651855469,16.05558967590332
108 m²,"2,85 tỷ",7 m,7 m,,,,Sổ đỏ/ Sổ hồng,,Tây,,108.256821220394,15.9768047138266
135 m²,"1,55 tỷ",15 m,5 m,,,,,,,,108.163686134111,15.9997483075022
379 m²,"8,3 tỷ",,,,,,Sổ đỏ/ Sổ hồng.,,,,108.1332753,16.0753885
90 m²,"1,45 tỷ",,5 m,,,,,,,,108.119453484305,16.1334114609831
125 m²,"10,2 tỷ",7 m,33 m,2 tầng,3 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,,,108.2006228,16.0221575
323 m²,"13,3 tỷ","6,5 m",7 m,3 tầng,5 phòng,5 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,,,108.2445484,16.0460617
170 m²,"24,8 tỷ",10 m,"7,5 m",3 tầng,4 phòng,4 phòng,Sổ đỏ/ Sổ hồng.,Đầy đủ.,,,108.2443032,16.0527051
103 m²,"12,5 tỷ",5 m,"10,5 m",3 tầng,9 phòng,10 phòng,Sổ đỏ/ Sổ hồng.,Đầy đủ.,,,108.2353991,16.0502809
79 m²,"5,65 tỷ","4,5 m","7,5 m",3 tầng,6 phòng,4 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Đông - Bắc,,108.1854167,16.0592072
72 m²,"10,4 tỷ","4,5 m","5,5 m",2 tầng,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ.,,,108.2471665,16.0452593
100 m²,"1,55 tỷ",5 m,4 m,,,,,,Tây - Nam,,108.173267661654,16.0116402427105
54 m²,"8,2 tỷ","7,3 m",,4 tầng,,,Có sổ,,,,108.233966534608,16.0795875047807
1.091 m²,"1,5 tỷ",32 m,5 m,,,,,,,,107.961284268433,16.1437164982394
84 m²,"13,5 tỷ","4,5 m",,,5 phòng,6 phòng,Sổ đỏ/ Sổ hồng,,,,108.2453006,16.0509709
60 m²,"2,7 tỷ","5,5 m","5,5 m",,1 phòng,1 phòng,Sổ đỏ/ Sổ hồng.,Không nội thất.,Tây - Nam,Tây - Nam,108.1265869140625,16.09237289428711
165 m²,20 tỷ,"9,2 m","5,5 m",,,,Sổ đỏ/ Sổ hồng,,Đông - Bắc,,108.2439446,16.0514836
90 m²,"2,97 tỷ",6 m,"7,5 m",,,,Sổ đỏ/ Sổ hồng,,Bắc,,108.25209045410156,15.983246803283691
70 m²,"2,7 tỷ",5 m,"5,5 m",,,,,,Tây - Nam,,108.137036825919,16.0986476148586
96 m²,Thỏa thuận,6 m,"10,5 m",,,,Sổ đỏ/ Sổ hồng,,Bắc,,108.25209045410156,15.983246803283691
150 m²,"1,85 tỷ",,5 m,,2 phòng,1 phòng,Sổ đỏ/ Sổ hồng,Cơ bản,,,108.211388957956,15.9660914814281
158 m²,"12,8 tỷ",9 m,"5,5 m",,,,Sổ đỏ/ Sổ hồng,,,,108.239075864289,16.0523636658191
35 m²,"1,98 tỷ",6 m,3 m,,1 phòng,1 phòng,,,Đông - Nam,,108.217674530552,16.0524184160432
102 m²,"3,1 tỷ",5 m,"7,5 m",,,,Đã có sổ.,,Tây,,108.272288,15.9823844
110 m²,"3,5 tỷ",5 m,"5,5 m",,,,Sổ đỏ/ Sổ hồng,,Đông - Nam,,108.213751983949,16.0081371282286
196 m²,"2,95 tỷ",7 m,5 m,,,,,,Tây - Bắc,,108.133534148329,16.0794720376127
102 m²,"3,1 tỷ",5 m,"7,5 m",,,,Đã có sổ.,,Tây,,108.272288,15.9823844
110 m²,"3,5 tỷ",5 m,"5,5 m",,,,Sổ đỏ/ Sổ hồng,,Đông - Nam,,108.213751983949,16.0081371282286
196 m²,"2,95 tỷ",7 m,5 m,,,,,,Tây - Bắc,,108.133534148329,16.0794720376127
117 m²,"15,8 tỷ",5 m,"10,5 m",3 tầng,6 phòng,5 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Tây,,108.218048191118,16.0388706549271
347 m²,59 triệu/m²,"19,5 m",33 m,,,,Sổ đỏ/ Sổ hồng,,Tây - Bắc,,108.137344373588,16.0986980281753
100 m²,"1,95 tỷ",5 m,"5,5 m",,,,Sổ đỏ/ Sổ hồng.,,Tây - Nam,,108.113489112001,16.159224114295
50 m²,"3,65 tỷ",5 m,"7,5 m",,,,Sổ đỏ/ Sổ hồng.,,Đông - Bắc,,,
100 m²,"2,35 tỷ",5 m,"5,5 m",,,,,,Tây - Nam,,,
59 m²,"1,22 tỷ",,,,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Tây,Đông - Bắc,108.1265869140625,16.09237289428711
140 m²,"16,5 tỷ",,,4 tầng,4 phòng,4 phòng,Sổ hồng,,,,108.1607468,16.0735613
90 m²,"6,1 tỷ",,,3 tầng,4 phòng,4 phòng,,,,,108.1710709,16.0699305
288 m²,24 tỷ,"10,5 m","7,5 m",,,,,,,,108.240074305732,16.0591363131826
90 m²,"3,65 tỷ",5 m,"7,5 m",,,,Sổ đỏ/ Sổ hồng,,Tây - Bắc,,108.169829054853,16.0659204067866
"164,8 m²",26 tỷ,9 m,,,,,,,,,108.245344601847,16.0510353671947
51 m²,"5,5 tỷ",,,,1 phòng,,Đang chờ sổ,Cơ bản,,,108.22355651855469,16.05558967590332
130 m²,"6,45 tỷ",6 m,"7,5 m",3 tầng,4 phòng,3 phòng,,Đầy đủ,,,108.214633691415,16.0059863477352
"35,5 m²","3,9 tỷ",,,,1 phòng,1 phòng,Sổ đỏ/ Sổ hồng,,,,108.22888946533203,16.088382720947266
250 m²,"10,2 tỷ",10 m,"7,5 m",,,,Sổ đỏ/ Sổ hồng,,Tây - Bắc,,108.223460079843,15.99910693075
108 m²,"6,5 tỷ",,,,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng.,,,,108.224540710449,16.0699863433838
100 m²,"4,3 tỷ",,,,,,Sổ đỏ/ Sổ hồng,,,,108.2563598,16.0176198
70 m²,"2,3 tỷ",,,,1 phòng,2 phòng,,,,,108.220336914063,16.0802135467529
64 m²,"2,4 tỷ",,,,2 phòng,2 phòng,,Đầy đủ,,,108.220336914063,16.0802135467529
72 m²,5 tỷ,,,,1 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,,,108.26374053955078,16.01302146911621
125 m²,"8,5 tỷ",5 m,15 m,,,,,,Bắc,,108.256938392522,16.0174121608807
127 m²,"6,6 tỷ","6,2 m","7,5 m",3 tầng,4 phòng,3 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Đông - Nam,,108.238815906437,16.0122735822741
90 m²,"5,6 tỷ","4,5 m","5,5 m",,,,Sổ đỏ/ Sổ hồng,,Đông,,108.2472861,16.087777
438 m²,Thỏa thuận,,"10,5 m",,,,Sổ đỏ/ Sổ hồng,Đầy đủ,Đông - Bắc,,108.2187672,16.0705598
60 m²,"9,8 tỷ",,,3 tầng,,,,,,,108.2121799,16.076766
600 m²,Thỏa thuận,,,21 tầng,130 phòng,,,,,,108.2465536,16.0574731
800 m²,Thỏa thuận,24 m,,,,,,,Bắc,,108.2367794,16.0706714
190 m²,115 triệu/m²,,,,,,,,Đông - Bắc,,108.2449297,16.0830131
300 m²,Thỏa thuận,15 m,"10,5 m",,,,Sổ đỏ/ Sổ hồng,,Nam,,108.2454557,16.0515136
442 m²,Thỏa thuận,,15 m,,,,Sổ đỏ/ Sổ hồng,,,,108.2495224,16.0470926
600 m²,Thỏa thuận,20 m,,,,,Sổ đỏ/ Sổ hồng,,Đông,,108.25028,16.0905582
85 m²,"5,95 tỷ",5 m,"7,5 m",3 tầng,3 phòng,3 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,,,108.20842549414,16.0223687411085
1.500 m²,Thỏa thuận,,,,,,Sổ đỏ/ Sổ hồng.,,Đông,,108.2465536,16.0574731
90 m²,"5,8 tỷ",5 m,,,,,Sổ đỏ/ Sổ hồng.,,Đông - Nam,,108.252497985151,16.0304084448316
75 m²,Thỏa thuận,,,,,,Sổ đỏ/ Sổ hồng.,,Đông - Bắc,,108.2406466,16.0749843
85 m²,"4,1 tỷ","4,4 m","10,5 m",2 tầng,,,,,,,108.2671142,15.990304
"82,5 m²","5,2 tỷ",,"5,5 m",,2 phòng,,,,Tây - Nam,,108.2150248,16.0378906
110 m²,"3,65 tỷ",5 m,"7,5 m",,,,,,Đông - Nam,,108.2334213256836,15.98295783996582
"82,4 m²","8,2 tỷ",,,,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,,,,108.22888946533203,16.088382720947266
180 m²,"21,5 tỷ",9 m,"10,5 m",3 tầng,,,,,,,108.20108302749,16.0721163116292
"157,5 m²","11,2 tỷ",,15 m,,,,Sổ đỏ/ Sổ hồng,,Tây,,108.258029081852,16.0176739880963
513 m²,"26,3 tỷ",15 m,"17,5 m",2 tầng,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Đông,,108.26937103271484,15.992631912231445
"170,68 m²",45 tỷ,,,3 tầng,,,Sổ đỏ/ Sổ hồng,,,,108.22888946533203,16.088382720947266
110 m²,"3,15 tỷ",5 m,"7,5 m",,,,,,Đông - Nam,,108.2334213256836,15.98295783996582
360 m²,"7,9 tỷ",18 m,15 m,,,,Sổ đỏ/ Sổ hồng,,Đông - Bắc,,108.071222359733,16.0431076412804
154 m²,"10,8 tỷ",8 m,"7,5 m",3 tầng,4 phòng,4 phòng,Sổ đỏ/ Sổ hồng.,Đầy đủ.,Đông - Bắc,Tây - Nam,108.233485,16.0980885
"92,5 m²",Thỏa thuận,5 m,"7,5 m",2 tầng,3 phòng,,,,Đông - Nam,,108.21037,16.0356445
170 m²,Thỏa thuận,18 m,,,,,,,,,108.2196866,16.0295865
102 m²,"8,5 tỷ",,,3 tầng,4 phòng,4 phòng,Sổ đỏ/ Sổ hồng.,,Tây - Bắc,,108.2156311,16.0806425
70 m²,"4,68 tỷ","5,5 m","5,5 m",1 tầng,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,,Tây,,108.2198618,16.034976
"55,4 m²","3,3 tỷ","4,1 m",4 m,,,,Sổ đỏ/ Sổ hồng,,Tây - Nam,,108.232677096155,16.0607039055972
576 m²,"15,5 tỷ",10 m,48 m,,,,Sổ đỏ/ Sổ hồng,,Đông,,108.2573805,16.0096674
200 m²,"8,25 tỷ",10 m,"7,5 m",3 tầng,3 phòng,3 phòng,Sổ đỏ/ Sổ hồng.,Đầy đủ,,,108.1813566,16.0483097
111 m²,14 tỷ,"7,5 m",,,,,Sổ đỏ/ Sổ hồng.,,,,108.234334927046,16.0523210094025
"499,4 m²",200 tỷ,"21,27 m",,12 tầng,100 phòng,100 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,,,108.2495224,16.0470926
72 m²,"3,9 tỷ",,,,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,,,,108.22888946533203,16.088382720947266
72 m²,"3,9 tỷ",,,,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,,,,108.22888946533203,16.088382720947266
100 m²,"4,15 tỷ",5 m,"5,5 m",3 tầng,3 phòng,3 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Tây - Nam,,108.237600416318,15.9877181531376
95 m²,"4,9 tỷ","4,7 m",,2 tầng,3 phòng,3 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,,,108.243264647329,16.0699345662184
90 m²,"4,6 tỷ",,"5,5 m",2 tầng,3 phòng,2 phòng,Sổ đỏ/ Sổ hồng,,,,108.240165710449,16.0299034118652
"192,5 m²",Thỏa thuận,,"7,5 m",,,,Sổ đỏ/ Sổ hồng.,,Tây - Bắc,,108.24016571044922,16.029903411865234
95 m²,7 tỷ,5 m,"11,5 m",3 tầng,4 phòng,3 phòng,Sổ đỏ/ Sổ hồng,Cơ bản,Đông - Bắc,Đông - Bắc,108.24016571044922,16.029903411865234
170 m²,"28,5 tỷ",,10 m,,,,,,Đông,,108.2453006,16.0509709
100 m²,6 tỷ,,"7,5 m",3 tầng,3 phòng,3 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ.,Đông - Bắc,,108.24016571044922,16.029903411865234
775 m²,36 tỷ,35 m,"10,5 m",,,,,,Đông - Bắc,,108.215267462136,16.0211074193948
"107,5 m²","3,25 tỷ",,"5,5 m",,,,Sổ đỏ/ Sổ hồng,,Tây - Bắc,,105.85244722590335,21.02894860978742
65 m²,"2,4 tỷ",4 m,"3,5 m",2 tầng,3 phòng,2 phòng,,,,,108.1699852,16.0514638
94 m²,"5,3 tỷ","4,3 m",5 m,3 tầng,3 phòng,3 phòng,Sổ đỏ/ Sổ hồng,,Đông - Nam,,108.235031311426,16.0813998878425
"86,8 m²","8,5 tỷ","4,5 m","7,5 m",3 tầng,3 phòng,3 phòng,Sổ đỏ/ Sổ hồng.,,,,108.217233145443,16.0342844386605
170 m²,"14,5 tỷ",10 m,"5,5 m",,,,Sổ đỏ/ Sổ hồng.,,Tây - Nam,,108.2443058,16.0576304
100 m²,"9,7 tỷ",5 m,,3 tầng,3 phòng,,Sổ đỏ/ Sổ hồng.,,,,108.217555050623,16.0342793433971
60 m²,"6,8 tỷ",4 m,"5,5 m",3 tầng,4 phòng,4 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ.,,,108.240396891617,16.0672869516446
108 m²,17 tỷ,,,,,,,,,,108.22888946533203,16.088382720947266
345 m²,100 tỷ,,,,,,Sổ đỏ/ Sổ hồng,,,,108.22888946533203,16.088382720947266
345 m²,300 triệu/m²,,,,,,,,,,108.22888946533203,16.088382720947266
108 m²,17 tỷ,,,,,,,,,,108.22888946533203,16.088382720947266
108 m²,17 tỷ,,,,,,,,,,108.22888946533203,16.088382720947266
345 m²,270 triệu/m²,,,,,,Sổ đỏ/ Sổ hồng,,,,108.22888946533203,16.088382720947266
"222,4 m²","25,2 tỷ",,,,,,Sổ đỏ/ Sổ hồng,,Tây,,108.22888946533203,16.088382720947266
108 m²,20 tỷ,,,,,,,,,,108.22888946533203,16.088382720947266
345 m²,300 triệu/m²,,,,,,,,,,108.22888946533203,16.088382720947266
108 m²,18 tỷ,,,5 tầng,,,Sổ đỏ/ Sổ hồng.,,,,108.22888946533203,16.088382720947266
"93,6 m²",22 tỷ,"4,5 m","7,5 m",8 tầng,15 phòng,16 phòng,Sổ đỏ/ Sổ hồng,,,,108.245332737044,16.0508430990409
"60,1 m²","3,45 tỷ","5,8 m",3 m,3 tầng,4 phòng,3 phòng,Sổ đỏ/ Sổ hồng,,Tây - Nam,,108.167150354935,16.0641136437785
"60,7 m²","1,89 tỷ",4 m,4 m,,,,Sổ đỏ/ Sổ hồng.,,Tây - Bắc,,108.152058918912,16.0858573263998
"87,1 m²","5,34 tỷ",,,,3 phòng,3 phòng,Hợp đồng mua bán,Không nội thất,Bắc,Đông - Bắc,108.228889465332,16.0883827209473
80 m²,"6,5 tỷ",,"3,75 m",2 tầng,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,,Tây - Nam,,108.239233406917,16.052550812533
90 m²,"6,3 tỷ","4,5 m","7,5 m",,,,Sổ đỏ/ Sổ hồng,,Nam,,108.2162361,16.0408909
90 m²,"7,5 tỷ",,,2 tầng,3 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,,,108.2162361,16.0408909
100 m²,"4,95 tỷ",5 m,"7,5 m",3 tầng,4 phòng,4 phòng,Sổ đỏ/ Sổ hồng,,,,108.248077278417,15.9835053599252
108 m²,8 tỷ,,"7,5 m",3 tầng,6 phòng,5 phòng,,,,,108.21673053394,16.0394791140161
90 m²,"2,9 tỷ",5 m,"5,5 m",,,,,,Nam,,108.267748974131,15.9867586484775
90 m²,Thỏa thuận,"6,25 m",4 m,,,,,,Tây - Nam,,108.243359301271,16.0478112642639
158 m²,"8,9 tỷ",,,,,,,,Đông - Nam,,108.22982788085938,16.020612716674805
61 m²,"1,2 tỷ",,,,,,Sổ đỏ/ Sổ hồng,Đầy đủ,Đông - Nam,Bắc,108.1265869140625,16.09237289428711
"105,5 m²",54 triệu/m²,,,,3 phòng,2 phòng,Có sổ,Nội thất bàn giao cao cấp.,Tây - Nam,Đông - Bắc,108.247406005859,16.0388774871826
125 m²,Thỏa thuận,5 m,15 m,3 tầng,,,,,Đông - Nam,,108.12629699707,16.0935726165771
"147,5 m²",Thỏa thuận,,,,,,Sổ đỏ/ Sổ hồng.,,Nam,,108.2085403,15.9843967
60 m²,"1,59 tỷ",,,,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Cơ bản,Tây - Bắc,Tây - Bắc,108.1265869140625,16.09237289428711
94 m²,"2,65 tỷ",,"7,5 m",,,,,,Tây,,108.250050918968,15.9806200861875
225 m²,Thỏa thuận,11 m,"7,5 m",,,,Sổ đỏ/ Sổ hồng,,Đông,,108.262271997921,15.9883264546402
100 m²,"2,79 tỷ",5 m,"5,5 m",,,,Sổ đỏ/ Sổ hồng,,Nam,,108.262054921086,15.9785186162001
"76,5 m²","4,9 tỷ",,"5,5 m",3 tầng,3 phòng,4 phòng,Sổ đỏ/ Sổ hồng,Không nội thất,Đông - Bắc,Đông - Bắc,108.160400535698,16.0814052468167
101 m²,"10,5 tỷ",5 m,"10,5 m",4 tầng,4 phòng,4 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,,,108.171457803805,16.0748449975587
100 m²,14 tỷ,5 m,15 m,,,,Sổ đỏ/ Sổ hồng,,Tây - Nam,,108.23045982789,16.0598431185836
55 m²,"3,25 tỷ",5 m,5 m,2 tầng,3 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Đông,Đông,108.211324372463,16.0539573529235
312 m²,20 tỷ,12 m,"7,5 m",,,,Sổ đỏ/ Sổ hồng.,,Đông - Nam,,108.229354858398,16.0239432990253
100 m²,"2,65 tỷ",5 m,"5,5 m",1 tầng,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Đông - Bắc,Đông,108.236596764085,15.986827243506
1.105 m²,"2,5 tỷ",19 m,5 m,,,,Sổ đỏ/ Sổ hồng.,,,,107.961504532909,16.1431735213749
100 m²,6 tỷ,,,,,,,,,,108.2086728,16.0168076
90 m²,"7,8 tỷ",,,,,,,,,,,
100 m²,"3,97 tỷ",,,,,,,,,,108.1667632,16.064252
180 m²,"12,8 tỷ",,,,,,,,,,108.1646894,16.0717946
100 m²,"3,8 tỷ",5 m,10 m,,,,Sổ đỏ/ Sổ hồng.,,Tây,,108.211471429749,15.9841743571832
125 m²,4 tỷ,5 m,"10,5 m",,,,Sổ đỏ/ Sổ hồng.,,Tây,,108.2139598,15.9846747
100 m²,"2,69 tỷ",5 m,"7,5 m",,,,Sổ đỏ/ Sổ hồng.,,Bắc,,108.2199588,16.0019983
56 m²,"4,15 tỷ",,,3 tầng,3 phòng,4 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ.,Đông,Đông,108.207184709186,16.0720943512074
110 m²,"2,19 tỷ",,,,3 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Cơ bản.,Nam,Bắc,108.21044158935547,16.062366485595703
65 m²,"3,25 tỷ",,,2 tầng,3 phòng,,,,,,108.236385962294,16.0782867875271
45 m²,"4,48 tỷ",4 m,4 m,3 tầng,3 phòng,4 phòng,Sổ đỏ/ Sổ hồng,"Đầy đủ nội thất: Khoá vân tay, máy giặt sấy, robot lau nhà, tivi 55 inch, tủ lạnh, bếp từ, hút mùi, 3 điều hoà.",,,108.2121799,16.076766
600 m²,"24,5 tỷ",,,2 tầng,4 phòng,,,,,,108.26590728759766,16.00696563720703
