Diện tích,Mức giá,Mặt tiền,Đường vào,Số tầng,Số phòng ngủ,Số toilet,Pháp lý,Nội thất,Hướng nhà,Hướng ban công,Longitude,Latitude
102 m²,3 tỷ,6 m,"7,5 m",,,,Sổ đỏ/ Sổ hồng.,,Tây,,108.2518488,15.9832463
50 m²,Thỏa thuận,,,,2 phòng,1 phòng,,,,,108.22808074951172,16.08682632446289
300 m²,55 triệu/m²,12 m,75 m,,,,Sổ đỏ/ Sổ hồng,,Đông - Nam,,108.24102783203125,16.017343521118164
"71,2 m²","3,96 tỷ",,,,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,,,108.229057312012,16.0717067718506
66 m²,"3,86 tỷ",,,,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,,,108.23790740966797,16.06191062927246
"77,5 m²","4,06 tỷ",,,,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,,,108.245346069336,16.0699615478516
63 m²,Thỏa thuận,,,,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng.,Đầy đủ.,,,108.228858947754,16.1001110076904
"82,5 m²","3,7 tỷ",,,,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ.,,,108.247406005859,16.0388774871826
"82,5 m²","3,86 tỷ",,,,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,,,108.247406005859,16.0388774871826
98 m²,15 tỷ,5 m,15 m,5 tầng,5 phòng,5 phòng,,,,,108.219849681699,16.0369572933671
76 m²,60 triệu/m²,,,,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng.,Đầy đủ.,Nam,Tây - Nam,108.221969604492,16.0329246520996
180 m²,"14,2 tỷ",,"7,5 m",3 tầng,5 phòng,4 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Đông - Bắc,,108.24016571044922,16.029903411865234
166 m²,"12,99 tỷ",,,,3 phòng,3 phòng,Sổ đỏ/ Sổ hồng,Cao cấp,,,108.237907409668,16.0619106292725
94 m²,"3,9 tỷ",,,,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng.,Đầy đủ.,,,108.233322143555,16.0561447143555
"94,1 m²","4,55 tỷ",,,,,,,,,,105.852447225903,21.0289486097874
120 m²,Thỏa thuận,8 m,"5,5 m",4 tầng,3 phòng,4 phòng,Sổ đỏ/ Sổ hồng.,Cơ bản.,Đông - Nam,Đông - Nam,108.2464725,16.0487975
1.311 m²,36 triệu/m²,30 m,"7,5 m",,,,Sổ đỏ/ Sổ hồng,,Đông - Nam,,108.22174835205078,16.018306732177734
102 m²,"4,5 tỷ",5 m,"10,5 m",,,,Sổ đỏ/ Sổ hồng,,Bắc,,108.266821073989,15.9935519610128
60 m²,Thỏa thuận,,,,2 phòng,2 phòng,Hợp đồng mua bán,Không nội thất.,Tây,Đông,108.25209045410156,15.983246803283691
73 m²,7 tỷ,,,2 tầng,,,Sổ đỏ/ Sổ hồng,,Tây,,108.2142035,16.0637114
300 m²,"17,1 tỷ",12 m,"7,5 m",,,,Sổ đỏ/ Sổ hồng,,Tây - Bắc,,108.24102783203125,16.017343521118164
850 m²,97 tỷ,,,2 tầng,5 phòng,6 phòng,Sổ đỏ/ Sổ hồng,Cơ bản,,,108.269371032715,15.9926319122314
100 m²,"8,3 tỷ",5 m,"7,5 m",3 tầng,4 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Cơ bản,Đông,Đông,108.232883120083,16.0751977963091
72 m²,"5,9 tỷ",,,2 tầng,3 phòng,3 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,,,108.2127968,16.0438836
"429,6 m²",40 triệu/m²,"15,48 m","6,5 m",,,,Sổ đỏ/ Sổ hồng,,Tây - Bắc,,108.209286119246,16.0142461740476
193 m²,30 tỷ,8 m,"10,5 m",,,,Sổ đỏ/ Sổ hồng.,,Đông,,108.2184585,16.0346069
"187,5 m²",Thỏa thuận,"7,5 m","7,5 m",,,,Sổ đỏ/ Sổ hồng,,Đông - Bắc,,108.152616675131,16.0881091602536
94 m²,"2,09 tỷ",,,,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Bắc,Nam,108.21044158935547,16.062366485595703
352 m²,Thỏa thuận,25 m,"7,5 m",,,,Sổ đỏ/ Sổ hồng,,Nam,,108.227603958649,16.0499995156006
60 m²,"2,35 tỷ",5 m,3 m,,,,Sổ đỏ/ Sổ hồng,,Tây - Bắc,,108.241167328251,16.0888387670816
100 m²,15 tỷ,5 m,,4 tầng,,,,,,,108.199049676704,16.0657199244063
76 m²,"8,5 tỷ","4,5 m","7,5 m",2 tầng,3 phòng,3 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Đông,Đông,108.23179366907,16.0754077027442
90 m²,"9,49 tỷ",,,4 tầng,14 phòng,15 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Nam,,108.213651936886,16.0354010277393
