Diện tích,Mức giá,Số phòng ngủ,Số toilet,Pháp lý,Nội thất,Latitude,Longitude,Mặt tiền,Đường vào,Hướng nhà,Hướng ban công,Số tầng
80 m²,"5,6 tỷ",3 phòng,3 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,21.02894860978742,105.85244722590335,5 m,"5,5 m",Đông - Nam,Đông - Nam,3 tầng
"127,5 m²","10,5 tỷ",,,,,16.0602424,108.2430528,5 m,,Tây - Nam,,
"127,5 m²","10,5 tỷ",,,,,16.0602424,108.2430528,5 m,,Tây - Nam,,
105 m²,Thỏa thuận,,,Sổ đỏ/ Sổ hồng,Đầy đủ,16.0388774871826,108.247406005859,,,Đông - Nam,Đông - Nam,
73 m²,Thỏa thuận,2 phòng,,,,16.1001110076904,108.228858947754,,,,,
100 m²,"2,6 tỷ",,,Sổ đỏ/ Sổ hồng,,15.9863737931125,108.267269100144,5 m,"5,5 m",,,
"280,6 m²",19 tỷ,,,Sổ đỏ/ Sổ hồng.,,16.0063366821572,108.220860701669,"15,74 m",,Tây - Nam,,
100 m²,"17,5 tỷ",,,,,16.0671792229892,108.244402266677,5 m,"7,5 m",Tây,,
"205,7 m²",110 triệu/m²,,,Sổ đỏ/ Sổ hồng,,16.0832598841269,108.245977266178,9 m,11 m,Đông - Bắc,,
72 m²,"5,6 tỷ",3 phòng,4 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ.,16.0332096,108.2526787,"4,5 m",6 m,,,3 tầng
"70,1 m²","10,5 tỷ",,,Sổ đỏ/ Sổ hồng.,,16.0512213932989,108.245500674417,5 m,105 m,,,
108 m²,"4,4 tỷ",,,Sổ đỏ/ Sổ hồng.,,16.0560385499539,108.165781234645,5 m,6 m,Đông - Bắc,,
105 m²,Thỏa thuận,3 phòng,3 phòng,,Cao cấp.,16.0388774871826,108.247406005859,,,Đông - Nam,Đông - Nam,
83 m²,"3,47 tỷ",2 phòng,2 phòng,HĐMB,Đầy đủ,16.0388774871826,108.247406005859,,,Đông - Nam,Đông - Nam,
100 m²,"3,7 tỷ",,,Sổ đỏ/ Sổ hồng,,15.9962722926186,108.213524065364,5 m,"10,5 m",Bắc,,
535 m²,25 tỷ,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,15.9926319122314,108.269371032715,6 m,15 m,Đông,Đông - Nam,2 tầng
300 m²,50 triệu/m²,,,Sổ đỏ/ Sổ hồng.,,16.0160076,108.2178369,,,Tây - Bắc,,
123 m²,24 tỷ,,,Sổ đỏ/ Sổ hồng,,16.0429641422249,108.221416477963,"7,1 m",,,,2 tầng
"55,4 m²","3,3 tỷ",,,Sổ đỏ/ Sổ hồng,,16.0606882282408,108.232714075229,"4,1 m",4 m,Tây,,
600 m²,42 tỷ,,,Sổ đỏ/ Sổ hồng,,15.9926316,108.269373,10 m,15 m,,,
100 m²,"4,75 tỷ",,,Sổ đỏ/ Sổ hồng.,,16.0019983,108.2199588,5 m,,Đông - Bắc,,
102 m²,70 triệu/m²,,,Sổ đỏ/ Sổ hồng,,16.0375466,108.2479767,6 m,"7,5 m",Tây - Bắc,,
100 m²,"4,15 tỷ",,,Sổ đỏ/ Sổ hồng,,16.0084754398683,108.220112059263,5 m,7 m,Tây - Bắc,,
60 m²,"1,1 tỷ",1 phòng,1 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,16.0923728942871,108.126586914063,,,Đông - Bắc,Đông - Nam,
81 m²,"3,85 tỷ",,,Sổ đỏ/ Sổ hồng.,,16.0806088388218,108.163877894735,5 m,5 m,Đông - Nam,,
"51,3 m²","5,4 tỷ",1 phòng,1 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,16.0555896759033,108.223556518555,,,,Đông - Nam,
650 m²,85 triệu/m²,,,Sổ đỏ/ Sổ hồng.,,16.017343521118164,108.24102783203125,,,Tây - Bắc,,
"59,2 m²",Thỏa thuận,2 phòng,,Sổ đỏ/ Sổ hồng,Đầy đủ,16.0923728942871,108.126586914063,,,,,
55 m²,"3,6 tỷ",2 phòng,,Sổ đỏ/ Sổ hồng,Đầy đủ nội thất.,16.054098,108.2348732,"4,4 m",,Bắc,,2 tầng
67 m²,"6,7 tỷ",3 phòng,,,,16.0474174472864,108.242060022562,4 m,,,,2 tầng
70 m²,"12,8 tỷ",,,,,16.0515136,108.2454557,,"10,5 m",,,
114 m²,"5,95 tỷ",,,,,16.040144120205,108.246726291518,"6,2 m",5 m,,,
100 m²,4 tỷ,,,Sổ đỏ/ Sổ hồng.,,15.9991506734131,108.223816269307,,,Đông - Bắc,,
89 m²,"5,25 tỷ",3 phòng,2 phòng,Sổ đỏ/ Sổ hồng,,16.095539,108.2496856,5 m,"7,5 m",,,2 tầng
640 m²,50 tỷ,,,Sổ đỏ/ Sổ hồng,,16.0704748985703,108.1512418,21 m,33 m,,,
110 m²,"3,1 tỷ",,,Sổ đỏ/ Sổ hồng,,15.9829578399658,108.233421325684,,"7,5 m",,,
106 m²,24 tỷ,,,Sổ đỏ/ Sổ hồng,Đầy đủ.,16.0586626,108.2057405,"4,5 m",33 m,Nam,,4 tầng
170 m²,Thỏa thuận,,,Sổ đỏ/ Sổ hồng,,15.9817395,108.2696515,9 m,22 m,Đông - Bắc,,
72 m²,"1,59 tỷ",,,,,16.1002267210756,108.135547984099,,,,,
34 m²,"2,45 tỷ",3 phòng,3 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,16.0650983094544,108.216305475671,4 m,3 m,,,3 tầng
250 m²,Thỏa thuận,,,Sổ đỏ/ Sổ hồng.,,16.0433093790253,108.210093327344,,,,,
250 m²,Thỏa thuận,,,Sổ đỏ/ Sổ hồng.,,16.0433093790253,108.210093327344,,,,,
178 m²,15 tỷ,,,Sổ đỏ/ Sổ hồng,Đầy đủ.,16.0527785081557,108.241292165102,"7,2 m",7 m,Đông - Nam,Đông - Nam,
128 m²,"4,7 tỷ",,,Sổ đỏ/ Sổ hồng.,,16.0858592362511,108.145041452055,5 m,50 m,Tây - Nam,,
110 m²,"16,7 tỷ",,,Sổ đỏ/ Sổ hồng,,16.0491979,108.2449953,5 m,"7,5 m",Nam,,
525 m²,Thỏa thuận,1 phòng,1 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,16.0191908210124,108.236062915078,15 m,,,,1 tầng
525 m²,36 triệu/m²,1 phòng,1 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ.,16.0194383143322,108.236406237832,15 m,11 m,,,1 tầng
134 m²,Thỏa thuận,,,Sổ đỏ/ Sổ hồng,,16.0398436060822,108.247249194749,"8,7 m",42 m,,,
100 m²,"3,7 tỷ",,,,,15.983246803283691,108.25209045410156,,,,,
623 m²,Thỏa thuận,3 phòng,2 phòng,Sổ đỏ/ Sổ hồng.,Đầy đủ,16.01702308654785,108.26024627685547,,,Đông - Nam,,
200 m²,"7,5 tỷ",4 phòng,3 phòng,Sổ đỏ/ Sổ hồng,,15.990304,108.2671142,,"10,5 m",Đông - Bắc,,3 tầng
65 m²,Thỏa thuận,1 phòng,2 phòng,Hợp đồng mua bán,Đầy đủ,16.069961547851562,108.24534606933594,,,Nam,Bắc,
90 m²,"19,5 tỷ",,,,,16.049235,108.2472165,,,,,2 tầng
85 m²,"6,5 tỷ",4 phòng,4 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,16.0681432905003,108.172198118974,5 m,"5,5 m",,,4 tầng
