Diện tích,Mức giá,Số phòng ngủ,Số toilet,Pháp lý,Nội thất,Latitude,Longitude,Mặt tiền,Đường vào,Hướng nhà,Hướng ban công,Số tầng
108 m²,"8,5 tỷ",,,,16.0797419765881,108.221313232713,"5,4 m",,Đông - Nam,,,
50 m²,"2,35 tỷ",1 phòng,1 phòng,Hợp đồng mua bán.,16.071032,108.22988,,,,,,Cơ bản.
117 m²,"1,25 tỷ",,,,16.0431152,108.0712054,,"7,5 m",Đông - Nam,,,
100 m²,"1,69 tỷ",,,Có sổ,16.0963618,108.095683,,"5,5 m",Tây - Bắc,,,
73 m²,Thỏa thuận,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,16.069961547851562,108.24534606933594,,,,,,
107 m²,"1,07 tỷ",,,Sổ đỏ.,16.0786496,108.2144229,"5,5 m","5,5 m",,,,
139 m²,"11,5 tỷ",11 phòng,11 phòng,Sổ đỏ/ Sổ hồng,16.0255468035749,108.241946262792,,"10,5 m",,,6 tầng,
100 m²,"4,45 tỷ",,,Sổ đỏ/ Sổ hồng,16.072982788085938,108.1611328125,5 m,"7,5 m",Đông - Nam,,,
"256,5 m²","12,5 tỷ",,,Sổ đỏ/ Sổ hồng.,16.072982788085938,108.1611328125,13 m,"7,5 m",Tây - Bắc,,,
"146,5 m²",9 tỷ,,,Sổ đỏ/ Sổ hồng,16.0735391772123,108.160704542326,"7,5 m","7,5 m",Đông - Nam,,,
164 m²,25 tỷ,15 phòng,16 phòng,Sổ đỏ/ Sổ hồng.,16.0490056,108.2414715,8 m,"5,5 m",,,6 tầng,
74 m²,"5,95 tỷ",4 phòng,4 phòng,Sổ đỏ/ Sổ hồng,16.0592072,108.1854167,"4,5 m","7,5 m",Đông - Bắc,,4 tầng,
81 m²,"11,5 tỷ",4 phòng,4 phòng,Sổ đỏ/ Sổ hồng,16.0609189792214,108.209983798092,,"5,5 m",Nam,,4 tầng,
108 m²,8 tỷ,3 phòng,3 phòng,Sổ đỏ/ Sổ hồng,16.0391139626515,108.216937995628,"4,5 m","7,5 m",Bắc,,4 tầng,
63 m²,"7,9 tỷ",2 phòng,1 phòng,Sổ đỏ/ Sổ hồng.,16.0601138,108.1881975,5 m,"10,5 m",,,1 tầng,
25 m²,"1,95 tỷ",2 phòng,2 phòng,Sổ đỏ/ Sổ hồng.,16.0722131,108.2072409,3 m,"2,5 m",,,2 tầng,Đầy đủ.
98 m²,"5,5 tỷ",2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,16.0423063,108.2436022,4 m,"10,5 m",,,1 tầng,Cơ bản
62 m²,"3,5 tỷ",1 phòng,1 phòng,Hợp đồng mua bán,16.038877487182617,108.24740600585938,,,,,,
150 m²,40 tỷ,5 phòng,4 phòng,,16.0792406,108.2149453,10 m,30 m,Đông,,7 tầng,
"161,5 m²","8,2 tỷ",,,Sổ đỏ/ Sổ hồng.,16.0148117022268,108.251887469409,"8,5 m",115 m,Tây - Nam,,,
"104,3 m²","3,04 tỷ",,,Sổ đỏ/ Sổ hồng,15.9745827856311,108.26290512085,6 m,"7,5 m",Nam,,,
100 m²,"4,75 tỷ",,,Sổ đỏ/ Sổ hồng,16.0299034118652,108.240165710449,,"11,5 m",,,,
100 m²,Thỏa thuận,,,Sổ đỏ/ Sổ hồng,16.0450779345117,108.21924718247,5 m,"10,5 m",Tây - Bắc,,,
80 m²,"10,5 tỷ",,,Sổ đỏ/ Sổ hồng.,16.0499663,108.2458704,"4,5 m",,Tây - Bắc,,,
350 m²,14 tỷ,,,Sổ đỏ/ Sổ hồng.,16.0610952,108.1742953,15 m,,Tây - Nam,,,
95 m²,"4,2 tỷ",,,Sổ đỏ/ Sổ hồng,16.0942662691106,108.247401219551,5 m,"5,5 m",Bắc,,,
100 m²,"2,7 tỷ",,,Sổ đỏ/ Sổ hồng,16.002161836292,108.220249654731,5 m,"7,5 m",Nam,,,
"182,5 m²","6,8 tỷ",,,Sổ đỏ/ Sổ hồng.,16.029903411865234,108.24016571044922,,,Đông - Nam,,,
106 m²,"23,5 tỷ",4 phòng,5 phòng,Sổ đỏ/ Sổ hồng,16.0590245,108.2072037,"4,5 m",33 m,Đông - Nam,Đông - Nam,4 tầng,Đầy đủ
"82,5 m²","4,7 tỷ",,,Sổ đỏ/ Sổ hồng,16.0896190566666,108.232758075638,5 m,"7,5 m",Bắc,,,
105 m²,"3,6 tỷ",,,Sổ đỏ/ Sổ hồng.,16.0851082746547,108.244099676945,10 m,5 m,,,,
210 m²,23 tỷ,,,Sổ đỏ/ Sổ hồng.,21.0289486097874,105.852447225903,10 m,"7,5 m",Nam,,,
360 m²,Thỏa thuận,2 phòng,,,16.006966,108.26591,,,,,,
"131,2 m²",20 tỷ,20 phòng,20 phòng,Sổ đỏ/ Sổ hồng,16.04779873193,108.246722049691,5 m,"5,5 m",Tây - Bắc,Tây - Bắc,8 tầng,Đầy đủ
60 m²,"2,85 tỷ",3 phòng,2 phòng,Sổ đỏ/ Sổ hồng,16.0262462755649,108.187998713086,5 m,5 m,Bắc,,2 tầng,Đầy đủ
56 m²,"4,15 tỷ",3 phòng,4 phòng,Sổ đỏ/ Sổ hồng,16.0719960655895,108.206838646131,"6,9 m","2,5 m",Đông - Bắc,,3 tầng,
111 m²,"13,8 tỷ",15 phòng,15 phòng,Sổ đỏ/ Sổ hồng,16.0365163,108.2145199,7 m,,,,5 tầng,Đầy đủ
115 m²,"9,5 tỷ",,,Sổ đỏ/ Sổ hồng,16.0725822720419,108.207208157263,,"10,5 m",,,,
100 m²,"4,2 tỷ",3 phòng,2 phòng,Sổ đỏ/ Sổ hồng,16.0076590192246,108.214421292446,5 m,"5,5 m",Đông - Nam,Đông - Nam,2 tầng,Đầy đủ.
99 m²,"2,95 tỷ",,,Sổ đỏ/ Sổ hồng.,15.9832475053754,108.248052215211,"5,5 m","7,5 m",Đông - Nam,,,
110 m²,"5,58 tỷ",,,Sổ đỏ/ Sổ hồng,16.0311338668625,108.226576219581,"7,5 m",,,,3 tầng,Đầy đủ
240 m²,"19,7 tỷ",,,Sổ đỏ/ Sổ hồng.,16.042387008666992,108.22222900390625,12 m,"7,5 m",Nam,,,
47 m²,"1,15 tỷ",1 phòng,1 phòng,Sổ đỏ/ Sổ hồng,16.09237289428711,108.1265869140625,,,Đông - Nam,,,Cơ bản
75 m²,"7,9 tỷ",2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,16.0555896759033,108.223556518555,,,Nam,Đông - Bắc,,Đầy đủ
513 m²,26 tỷ,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,15.9926319122314,108.269371032715,15 m,"17,5 m",Đông,,2 tầng,Đầy đủ
79 m²,"6,8 tỷ",4 phòng,4 phòng,Sổ đỏ/ Sổ hồng.,16.0677577142651,108.235024620455,5 m,"5,5 m",,,4 tầng,Đầy đủ.
180 m²,"7,2 tỷ",,,Sổ đỏ/ Sổ hồng.,16.1008610444367,108.229880649192,10 m,"7,5 m",,,,
300 m²,"11,9 tỷ",,,Sổ đỏ/ Sổ hồng.,16.1005857276653,108.229194137777,10 m,"7,5 m",Tây - Bắc,,,
180 m²,"8,8 tỷ",,,,16.101034157442,108.229562871798,10 m,"7,5 m",,,,
79 m²,"6,85 tỷ",4 phòng,4 phòng,Sổ đỏ/ Sổ hồng,16.068125821275,108.234546389608,"4,5 m","7,5 m",,,4 tầng,Đầy đủ
70 m²,"6,85 tỷ",3 phòng,4 phòng,Sổ đỏ/ Sổ hồng,16.0327547,108.2155925,5 m,"5,5 m",,,3 tầng,Đầy đủ
