Diện tích,Mức giá,Hướng nhà,Số tầng,Số phòng ngủ,Số toilet,Pháp lý,Nội thất,Latitude,Longitude,Mặt tiền,Đường vào,Hướng ban công
138 m²,Thỏa thuận,,,,,Sổ đỏ/ Sổ hồng,,15.9836241068494,108.25168669077,6 m,"10,5 m",
92 m²,11 tỷ,,,,,Sổ đỏ/ Sổ hồng.,,16.0478012482853,108.246798700372,7 m,"5,5 m",
110 m²,2 tỷ,Đông - Nam,,,,Sổ đỏ/ Sổ hồng,,16.087716666707,108.240882335581,,2 m,
640 m²,40 tỷ,Đông,,,,Sổ đỏ/ Sổ hồng,,16.0638914294855,108.246868742272,,,
100 m²,"3,35 tỷ",Tây - Nam,,,,Sổ đỏ/ Sổ hồng,,16.09357261657715,108.12629699707031,5 m,"10,5 m",
111 m²,"14,5 tỷ",Tây - Nam,4 tầng,4 phòng,5 phòng,Sổ đỏ/ Sổ hồng,Cơ bản,16.0651232860292,108.241781577357,"5,5 m","7,5 m",
100 m²,Thỏa thuận,Tây - Bắc,,,,Sổ đỏ/ Sổ hồng.,,16.0214845137643,108.233767607146,5 m,7 m,
300 m²,Thỏa thuận,,3 tầng,4 phòng,4 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,16.043506622314453,108.24837493896484,,,
72 m²,Thỏa thuận,,,2 phòng,2 phòng,,,15.983246803283691,108.25209045410156,,,
66 m²,Thỏa thuận,,,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,16.0686168670654,108.244453430176,,,
48 m²,Thỏa thuận,,,1 phòng,1 phòng,,Cơ bản,16.0890197753906,108.228302001953,,,
90 m²,"8,89 tỷ",Đông - Bắc,4 tầng,5 phòng,5 phòng,Sổ đỏ/ Sổ hồng,Cơ bản,16.0582983336459,108.186445290346,5 m,15 m,Đông - Bắc
125 m²,"4,65 tỷ",,2 tầng,6 phòng,5 phòng,Sổ đỏ/ Sổ hồng,,16.0560385499539,108.165781234645,,"10,5 m",
"121,6 m²","9,5 tỷ",,,,,Sổ đỏ/ Sổ hồng,,16.0772631,108.1715425,5 m,"10,5 m",
106 m²,"5,6 tỷ",,,,,Sổ đỏ/ Sổ hồng,,16.0308823748502,108.228707448558,5 m,55 m,
200 m²,53 tỷ,Tây - Bắc,5 tầng,19 phòng,19 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,16.054921100396,108.242123586394,86 m,30 m,Tây - Nam
"99,3 m²","5,7 tỷ",Bắc,,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng.,Đầy đủ.,16.0699615478516,108.245346069336,,,Nam
89 m²,"1,75 tỷ",,,,,,,15.9937591613955,108.258620067234,6 m,5 m,
180 m²,"10,5 tỷ",Đông - Nam,,,,Sổ đỏ/ Sổ hồng,,16.0184826229757,108.255202823823,10 m,"7,5 m",
100 m²,"3,15 tỷ",Tây - Bắc,,,,Sổ đỏ/ Sổ hồng.,,15.9883422157588,108.236027585112,,"7,5 m",
70 m²,"8,4 tỷ",,,,,Sổ đỏ/ Sổ hồng,,16.0477600936065,108.246859540597,5 m,"5,5 m",
200 m²,"7,5 tỷ",,3 tầng,4 phòng,3 phòng,Sổ đỏ/ Sổ hồng,,15.990687538382,108.266993080626,,"10,5 m",
73 m²,"5,79 tỷ",Đông - Nam,1 tầng,2 phòng,1 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ.,16.0754438,108.2318092,5 m,"7,5 m",Đông - Nam
70 m²,Thỏa thuận,Đông,,1 phòng,1 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,16.080214,108.22034,,,Tây
147 m²,"6,9 tỷ",Tây,,,,Sổ đỏ/ Sổ hồng,,16.0579914,108.2388428,"6,1 m","5,5 m",
64 m²,"6,3 tỷ",,1 tầng,1 phòng,1 phòng,Sổ đỏ/ Sổ hồng,Cơ bản,16.0682791951296,108.197513662076,"3,7 m","7,5 m",
60 m²,"5,5 tỷ",,,,,Sổ đỏ/ Sổ hồng,,16.0477299061807,108.24662271002,,"5,5 m",
100 m²,"3,8 tỷ",Đông - Nam,,,,,,16.007029241335,108.214345404934,,"7,5 m",
100 m²,"4,6 tỷ",Đông - Nam,2 tầng,4 phòng,4 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ.,16.0023524,108.2616666,5 m,,
86 m²,"4,3 tỷ",Tây,,,,Sổ đỏ/ Sổ hồng,,16.016571,108.2549201,5 m,7 m,
75 m²,"5,85 tỷ",Đông - Bắc,3 tầng,3 phòng,4 phòng,Sổ đỏ/ Sổ hồng.,Nội thất cao cấp Luxury.,16.0830523326393,108.160474199954,"4,5 m","5,5 m",
50 m²,"1,85 tỷ",,2 tầng,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Cơ bản,16.0523155265041,108.217740878466,,,
130 m²,25 tỷ,Nam,3 tầng,4 phòng,4 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ.,16.0687591840669,108.237516110072,7 m,"7,5 m",
100 m²,"2,15 tỷ",Đông - Bắc,,,,Sổ đỏ/ Sổ hồng,,21.02894860978742,105.85244722590335,5 m,"7,5 m",
143 m²,"9,5 tỷ",Đông - Bắc,,,,Sổ đỏ/ Sổ hồng.,,16.0412747992486,108.243342573181,8 m,"5,5 m",
200 m²,13 tỷ,Tây - Bắc,,,2 phòng,Sổ đỏ/ Sổ hồng.,Đầy đủ,16.0183067321777,108.221748352051,10 m,36 m,
20.000 m²,Thỏa thuận,,,,,Hợp đồng mua bán.,,16.1167979412463,108.111769953641,75 m,7 m,
40 m²,"2,4 tỷ",Đông,,1 phòng,1 phòng,Sổ đỏ/ Sổ hồng,,16.088382720947266,108.22888946533203,,,Nam
42 m²,"3,5 tỷ",,3 tầng,3 phòng,3 phòng,Sổ đỏ/ Sổ hồng,,16.0654433490978,108.199309293925,4 m,5 m,
133 m²,Thỏa thuận,,2 tầng,5 phòng,6 phòng,Sổ đỏ/ Sổ hồng,,15.9823727993206,108.253528207179,5 m,"7,5 m",
88 m²,"3,45 tỷ",Đông,,,,Sổ đỏ/ Sổ hồng.,,16.029903411865234,108.24016571044922,,"5,5 m",
136 m²,"19,5 tỷ",,4 tầng,4 phòng,4 phòng,Sổ đỏ/ Sổ hồng.,Đầy đủ.,16.0446837,108.2185745,5 m,33 m,
"255,9 m²",55 triệu/m²,Tây - Bắc,,,,Sổ đỏ/ Sổ hồng.,,16.0160076,108.2178369,"12,3 m",,
