,area,price,num_of_stories,num_of_bedrooms,num_of_toilets
840,100.0,13.8,5,7.0,7.0
841,125.0,4.65,2,6.0,5.0
842,90.0,3.4,2,3.0,3.0
843,70.0,12.8,3,3.0,3.0
844,82.0,11.5,4,7.0,7.0
845,60.0,11.5,5,8.0,8.0
846,115.0,,7,5.0,5.0
847,122.0,,1,3.0,2.0
848,100.0,4.3,,4.0,4.0
849,169.0,47.5,5,4.0,5.0
850,123.0,5.6,1,4.0,4.0
851,45.0,4.5,2,3.0,2.0
852,80.0,5.1,3,3.0,4.0
853,321.5,32.5,2,4.0,4.0
854,115.0,,1,1.0,1.0
855,86.0,13.35,4,8.0,8.0
856,100.0,6.0,3,3.0,3.0
857,136.0,7.5,2,3.0,2.0
858,72.0,3.79,2,3.0,2.0
859,111.6,23.0,,,
860,140.0,,9,24.0,25.0
861,288.0,27.5,,7.0,8.0
862,61.0,16.2,3,,
863,108.0,4.7,2,3.0,
864,85.0,14.3,3,,
865,200.0,20.9,,,
866,174.6,10.0,,,
867,80.0,6.5,3,,
868,180.0,17.5,,,
869,112.0,6.0,,2.0,1.0
870,80.0,,3,3.0,3.0
871,120.0,,4,,
872,73.0,16.5,7,8.0,8.0
873,271.7,62.0,9,32.0,32.0
874,95.0,6.4,4,5.0,5.0
875,108.0,,5,,
876,80.0,16.4,7,8.0,9.0
877,99.0,22.0,9,15.0,16.0
878,90.0,7.8,2,3.0,2.0
879,620.0,80.0,3,4.0,4.0
880,55.0,2.3,,3.0,3.0
881,102.0,17.0,6,13.0,14.0
882,260.0,16.0,3,,
883,90.0,4.1,2,3.0,2.0
884,100.0,4.7,3,3.0,3.0
885,108.0,16.416,3,4.0,5.0
886,108.0,16.5,3,4.0,5.0
887,100.0,10.5,3,4.0,4.0
888,125.0,18.0,4,3.0,3.0
889,67.0,13.49,4,6.0,6.0
890,106.0,23.9,4,5.0,6.0
891,150.0,12.49,1,3.0,2.0
892,52.0,5.35,,2.0,2.0
893,73.0,4.58,2,3.0,2.0
894,77.4,15.7,5,,
895,106.0,13.0,4,3.0,3.0
896,156.0,11.5,3,6.0,9.0
897,83.0,4.95,3,3.0,4.0
898,105.0,4.35,2,3.0,2.0
899,90.0,,,,
900,290.0,,6,,
901,73.0,7.6,2,,
902,51.0,7.5,4,4.0,4.0
903,95.0,12.5,,,
904,100.0,3.2,,2.0,1.0
905,105.0,4.5,2,5.0,5.0
906,98.0,11.8,5,14.0,14.0
907,107.5,4.15,1,1.0,1.0
908,70.0,5.5,2,3.0,2.0
909,54.0,4.8,3,3.0,4.0
910,135.5,2.95,1,2.0,1.0
911,96.0,,,,
912,88.0,,3,3.0,4.0
913,85.0,,3,3.0,3.0
914,204.0,9.5,2,4.0,3.0
915,117.0,12.5,,5.0,5.0
916,84.0,6.25,2,4.0,4.0
917,107.0,7.2,4,9.0,10.0
918,105.8,22.5,4,6.0,
919,34.0,2.25,3,2.0,2.0
920,115.0,,7,7.0,7.0
921,73.0,7.6,2,2.0,2.0
922,60.0,3.95,3,3.0,3.0
923,100.0,12.2,6,11.0,11.0
924,25.0,1.95,2,2.0,2.0
925,63.0,7.9,1,2.0,1.0
926,100.0,10.9,3,6.0,4.0
927,513.0,26.0,2,2.0,2.0
928,123.0,2.25,1,2.0,1.0
929,60.0,2.79,2,3.0,
930,82.0,5.15,2,4.0,3.0
931,70.0,3.9,2,3.0,
932,80.0,5.6,3,3.0,3.0
933,100.0,11.0,3,3.0,4.0
934,93.0,9.5,2,2.0,3.0
935,300.0,,1,3.0,3.0
936,160.0,10.5,1,2.0,1.0
937,90.0,7.0,3,,
938,125.0,4.85,3,3.0,2.0
939,40.0,2.95,3,2.0,3.0
940,240.0,67.0,10,50.0,52.0
941,481.0,17.4,3,4.0,4.0
942,231.0,8.9,3,3.0,4.0
943,72.0,3.79,,3.0,2.0
944,100.0,12.5,5,,
945,175.65,52.6,3,,
946,294.4,60.0,6,,
947,106.0,13.0,4,3.0,3.0
948,108.6,10.5,4,4.0,4.0
949,67.0,3.9,2,2.0,3.0
950,91.0,13.5,6,,
951,36.0,3.25,2,2.0,2.0
952,95.0,9.9,4,5.0,5.0
953,62.0,7.6,5,7.0,7.0
954,195.0,24.0,3,3.0,3.0
955,300.0,,,3.0,4.0
956,152.0,10.5,3,3.0,2.0
957,67.0,3.05,2,3.0,3.0
958,150.0,10.0,2,4.0,3.0
959,95.0,7.2,3,4.0,3.0
960,60.0,3.6,3,4.0,3.0
961,105.0,23.5,5,,
962,42.0,1.9,2,3.0,2.0
963,48.0,4.6,,4.0,3.0
964,140.0,14.98,3,5.0,6.0
965,52.0,4.95,2,2.0,2.0
966,82.0,13.99,4,4.0,4.0
967,70.0,5.95,,2.0,2.0
968,180.0,,,,
969,40.0,2.95,2,3.0,3.0
970,123.0,18.0,3,5.0,
971,95.0,6.4,4,5.0,5.0
972,140.0,6.9,2,5.0,4.0
973,67.0,9.8,5,5.0,5.0
974,160.0,7.2,2,3.0,3.0
975,74.0,,2,3.0,2.0
976,196.0,1.75,,2.0,1.0
977,158.0,3.1,,,
978,140.0,,,,
979,124.0,8.2,4,4.0,4.0
980,100.0,18.0,2,,
981,81.0,17.5,,,
982,180.0,42.0,6,8.0,8.0
983,114.0,16.0,3,3.0,4.0
984,118.0,7.0,,2.0,
985,180.0,23.5,2,,
986,120.0,11.6,4,3.0,3.0
987,100.0,4.0,3,3.0,3.0
988,55.0,3.9,2,2.0,1.0
989,50.0,3.25,2,3.0,2.0
990,56.0,5.6,,2.0,2.0
991,56.0,5.5,1,2.0,2.0
992,106.0,13.0,4,3.0,3.0
993,120.0,5.4,2,3.0,2.0
994,40.0,1.95,2,2.0,2.0
995,102.8,,3,3.0,4.0
996,50.0,2.05,2,2.0,2.0
997,100.0,19.0,6,,
998,130.0,15.0,2,3.0,3.0
999,82.0,7.6,3,3.0,4.0
1000,300.0,24.0,3,5.0,6.0
1001,50.0,3.1,2,3.0,3.0
1002,105.0,7.05,3,3.0,4.0
1003,81.0,11.5,4,3.0,3.0
1004,100.0,25.0,9,21.0,22.0
1005,92.5,9.3,2,3.0,
1006,54.1,5.7,3,3.0,3.0
1007,75.0,2.8,3,3.0,3.0
1008,80.0,5.6,3,5.0,4.0
1009,107.5,5.65,1,1.0,1.0
1010,123.0,10.5,1,3.0,1.0
1011,100.0,4.75,2,3.0,2.0
1012,100.0,4.0,3,3.0,3.0
1013,585.0,200.0,4,5.0,5.0
1014,87.0,12.4,3,3.0,3.0
1015,43.0,2.98,4,3.0,3.0
1016,47.0,3.45,2,3.0,3.0
1017,90.0,3.65,2,3.0,3.0
1018,60.0,3.75,3,3.0,3.0
1019,60.0,7.6,3,3.0,2.0
1020,80.0,5.1,3,3.0,3.0
1021,100.0,7.0,3,5.0,5.0
1022,80.0,6.7,3,3.0,3.0
1023,66.0,3.88,3,2.0,2.0
1024,100.0,13.0,3,3.0,3.0
1025,116.0,12.0,3,4.0,3.0
1026,68.0,15.0,7,8.0,8.0
1027,73.0,11.2,4,4.0,4.0
1028,60.0,,4,3.0,2.0
1029,100.0,11.0,3,6.0,4.0
1030,345.0,86.25,3,4.0,5.0
1031,90.0,19.0,2,,
1032,300.0,21.0,2,3.0,4.0
1033,90.0,12.5,6,,
1034,48.0,12.5,5,,
1035,92.5,7.29,3,4.0,4.0
1036,623.0,,2,2.0,2.0
1037,94.0,10.5,3,4.0,4.0
1038,95.0,,3,3.0,3.0
1039,83.0,6.7,3,3.0,3.0
1040,114.0,,,,
1041,52.5,,2,2.0,2.0
1042,108.0,15.73,,,
1043,367.0,27.0,4,8.0,9.0
1044,144.0,17.0,,3.0,2.0
1045,108.0,15.83,,,
1046,90.0,16.0,7,13.0,
1047,52.0,4.9,1,2.0,1.0
1048,600.0,680.0,20,,
1049,129.0,25.0,3,3.0,3.0
1050,91.0,29.0,8,18.0,19.0
1051,40.6,2.2,2,2.0,2.0
1052,345.0,,,,
1053,105.0,22.5,8,15.0,16.0
1054,600.0,25.0,3,34.0,34.0
1055,126.0,5.09,1,4.0,4.0
1056,236.0,29.0,4,4.0,4.0
1057,92.0,10.5,5,8.0,8.0
1058,147.0,,1,2.0,1.0
1059,55.4,,3,3.0,4.0
1060,258.0,,4,6.0,6.0
1061,75.0,7.6,4,4.0,4.0
1062,300.0,48.0,3,4.0,4.0
1063,100.0,7.8,3,3.0,3.0
1064,420.0,113.4,,,
1065,288.0,24.5,4,8.0,8.0
1066,100.0,5.6,3,3.0,3.0
1067,1860.0,450.0,,,
1068,120.0,2.65,,2.0,1.0
1069,126.0,7.3,3,5.0,5.0
1070,200.0,12.0,3,8.0,6.0
1071,120.0,,3,,
1072,138.0,,2,3.0,3.0
1073,98.0,14.5,3,6.0,6.0
1074,55.1,6.8,3,3.0,3.0
1075,76.0,7.25,4,3.0,5.0
1076,112.7,2.8,1,2.0,2.0
1077,107.0,7.0,,1.0,1.0
1078,70.0,4.2,3,3.0,3.0
1079,100.0,6.65,2,3.0,2.0
1080,50.0,2.5,,,
1081,100.0,8.0,3,3.0,3.0
1082,131.0,20.0,8,20.0,21.0
1083,90.0,5.29,4,4.0,5.0
1084,108.0,12.5,,,
1085,120.0,7.8,4,4.0,3.0
1086,80.0,5.2,3,3.0,3.0
1087,83.3,5.9,4,4.0,4.0
1088,100.0,4.35,2,2.0,2.0
1089,85.3,12.2,3,,
1090,81.0,5.6,3,3.0,4.0
1091,100.0,,3,3.0,4.0
1092,90.0,1.73,1,5.0,5.0
1093,310.0,,,,
1094,58.0,12.7,,,
1095,78.0,8.2,3,3.0,4.0
1096,79.0,6.5,3,4.0,
1097,146.0,2.25,1,3.0,2.0
1098,85.0,6.65,,,
1099,100.0,4.7,,,
1100,105.0,6.95,,,
1101,52.0,5.4,,,
1102,80.0,8.1,3,3.0,4.0
1103,135.0,16.2,2,3.0,2.0
1104,98.0,2.75,1,2.0,1.0
1105,75.0,7.2,2,2.0,3.0
1106,56.0,8.5,2,,
1107,125.0,4.7,2,3.0,2.0
1108,300.0,29.0,3,4.0,5.0
1109,151.0,5.4,2,3.0,2.0
1110,100.0,5.5,3,3.0,3.0
1111,114.0,2.79,1,3.0,2.0
1112,350.0,,,3.0,
1113,162.0,14.3,,,
1114,180.0,40.0,9,30.0,30.0
1115,95.0,7.6,3,3.0,3.0
1116,125.0,5.4,2,3.0,2.0
1117,78.0,5.49,,3.0,2.0
1118,378.0,,4,5.0,5.0
1119,52.0,9.7,4,4.0,4.0
1120,49.0,5.2,,2.0,2.0
1121,92.0,5.0,1,2.0,2.0
1122,70.0,7.2,,2.0,2.0
1123,150.0,,,,
1124,117.0,9.0,3,12.0,
1125,195.0,,,,
1126,70.0,4.4,3,5.0,5.0
1127,240.0,,,,
1128,108.0,7.8,3,6.0,5.0
1129,210.0,11.0,3,5.0,5.0
1130,500.0,,3,,
1131,400.0,,,,
1132,286.0,36.0,,,
1133,103.0,27.5,,,
1134,114.0,36.5,6,19.0,20.0
1135,76.0,3.3,3,3.0,4.0
1136,600.0,380.0,19,110.0,110.0
1137,200.0,16.2,3,4.0,4.0
1138,768.0,600.0,21,10.0,10.0
1139,170.0,45.0,11,28.0,28.0
1140,537.0,16.0,,2.0,2.0
1141,61.4,3.79,2,3.0,3.0
1142,94.6,5.3,3,3.0,3.0
1143,95.0,4.0,1,3.0,1.0
1144,105.0,8.2,3,4.0,5.0
1145,131.0,20.0,7,18.0,
1146,60.0,3.9,3,3.0,3.0
1147,90.0,1.59,7,13.0,14.0
1148,100.0,9.55,3,9.0,10.0
1149,100.0,10.0,3,6.0,5.0
1150,45.0,9.0,2,2.0,1.0
1151,154.0,17.0,5,5.0,3.0
1152,95.0,5.4,2,4.0,2.0
1153,60.0,4.35,2,2.0,2.0
1154,81.0,10.0,5,8.0,8.0
1155,85.0,6.45,3,3.0,4.0
1156,72.0,5.69,3,3.0,4.0
1157,113.0,14.8,5,7.0,8.0
1158,284.0,12.5,3,5.0,5.0
1159,85.0,20.0,8,,
1160,95.0,7.7,3,4.0,4.0
1161,91.0,13.5,6,,
1162,131.2,20.0,8,,
1163,180.0,42.0,6,,
1164,99.0,22.0,8,,
1165,70.0,6.2,3,4.0,4.0
1166,90.0,15.8,7,,
1167,116.0,6.9,1,3.0,3.0
1168,100.0,8.3,5,11.0,
1169,198.0,30.0,2,3.0,3.0
1170,159.6,16.3,3,6.0,6.0
1171,470.0,25.0,,,
1172,136.0,17.0,3,4.0,
1173,95.0,6.4,4,5.0,5.0
1174,105.0,7.0,3,4.0,4.0
1175,87.0,11.8,5,7.0,7.0
1176,94.0,5.3,4,3.0,2.0
1177,207.0,58.0,4,4.0,4.0
1178,120.0,11.2,3,3.0,4.0
1179,117.0,6.1,1,1.0,1.0
