price,area,road_width,floors,bedroom,loc,garage
": 2,65 tỷ","66 m
2",4m,1 lầu,2 phòng ngủ,"Đường Phan Bá Phiến, Phường Thọ Quang, Quận Sơn Trà,",chỗ để xe
": 2,1 tỷ","42 m
2",3m,2 lầu,3 phòng ngủ,"Đường Phạm Nhữ Tăng, Phường Hòa Khê, Quận Thanh Khê,",chỗ để xe
": 2,75 tỷ","105 m
2",6m,1 lầu,2 phòng ngủ,"Đường Nguyễn Phan Chánh, Phường Hòa Hải, Quận Ngũ Hành Sơn,",chỗ để xe
": 2,45 tỷ","58 m
2",3m,2 lầu,2 phòng ngủ,"Đường Phan Bá Phiến, Phường Thọ Quang, Quận Sơn Trà,",chỗ để xe
": 2,45 tỷ","50 m
2",6m,1 lầu,2 phòng ngủ,"Đường Hà Huy Tập, Phường An Khê, Quận Thanh Khê,",chỗ để xe
": 4,65 tỷ","95 m
2",6m,1 lầu,2 phòng ngủ,"Đường Phạm Cự Lượng, Phường An Hải Đông, Quận Sơn Trà,",chỗ để xe
": 2,65 tỷ","65 m
2",3m,2 lầu,3 phòng ngủ,"Đường Thanh Sơn, Phường Thạch Thang, Quận Hải Châu,",chỗ để xe
": 3,25 tỷ","50 m
2",3m,2 lầu,3 phòng ngủ,"Đường Lê Đình Lý, Phường Hòa Thuận Đông, Quận Hải Châu,",chỗ để xe
": 2,25 tỷ","45 m
2",6m,2 lầu,3 phòng ngủ,"Đường Nguyễn Phước Nguyên, Phường An Khê, Quận Thanh Khê,",chỗ để xe
": 3,5 tỷ","70 m
2",4m,3 lầu,5 phòng ngủ,"Đường Phạm Văn Nghị, Phường Thạc Gián, Quận Thanh Khê,",chỗ để xe
": 2,35 tỷ","50 m
2",3m,2 lầu,3 phòng ngủ,"Đường Lê Đình Lý, Phường Hòa Thuận Đông, Quận Hải Châu,",chỗ để xe
": 5,8 tỷ","115 m
2","5,5m",2 lầu,3 phòng ngủ,"Đường Phan Bá Phiến, Phường Thọ Quang, Quận Sơn Trà,",chỗ để xe
": 9,7 tỷ","170 m
2",6m,1 lầu,2 phòng ngủ,"Đường Tô Hiến Thành, Phường An Hải Đông, Quận Sơn Trà,",chỗ để xe
": 3,2 tỷ","80 m
2",3m,2 lầu,2 phòng ngủ,"Đường Phạm Quang Ảnh, Phường An Hải Đông, Quận Sơn Trà,",chỗ để xe
": 3,3 tỷ","84 m
2",3m,2 lầu,3 phòng ngủ,"Đường Lê Đình Dương, Phường Nam Dương, Quận Hải Châu,",chỗ để xe
": 3,6 tỷ","56 m
2",3m,3 lầu,4 phòng ngủ,"Đường Lý Tự Trọng, Phường Thạch Thang, Quận Hải Châu,",chỗ để xe
": 2,75 tỷ","51 m
2",3m,2 lầu,3 phòng ngủ,"Đường Phan Phú Tiên, Phường Thanh Khê Tây, Quận Thanh Khê,",chỗ để xe
": 3,25 tỷ","110 m
2",6m,1 lầu,2 phòng ngủ,"Đường Hà Huy Tập, Phường Xuân Hà, Quận Thanh Khê,",chỗ để xe
": 3,5 tỷ","52 m
2",3m,3 lầu,4 phòng ngủ,"Đường Nguyễn Tri Phương, Phường Hòa Thuận Đông, Quận Hải Châu,",chỗ để xe
": 3,5 tỷ","51 m
2",3m,3 lầu,4 phòng ngủ,"Đường Hoàng Diệu, Phường Nam Dương, Quận Hải Châu,",chỗ để xe
": 3,5 tỷ","50 m
2",4m,3 lầu,3 phòng ngủ,"Đường Ông Ích Khiêm, Phường Thanh Bình, Quận Hải Châu,",chỗ để xe
": 4,95 tỷ","95 m
2","7,5m",1 lầu,2 phòng ngủ,"Đường Khúc Hạo, Phường An Hải Bắc, Quận Sơn Trà,",chỗ để xe
": 11,9 tỷ","100 m
2",11m,1 lầu,2 phòng ngủ,"Đường Hồ Nghinh, Phường Phước Mỹ, Quận Sơn Trà,",chỗ để xe
": 12,8 tỷ","110 m
2",11m,3 lầu,3 phòng ngủ,"Đường Núi Thành, Phường Hòa Thuận Đông, Quận Hải Châu,",chỗ để xe
": 4,7 tỷ","60 m
2","5,5m",3 lầu,4 phòng ngủ,"Đường Nguyễn Hữu Dật, Phường Hòa Cường Bắc, Quận Hải Châu,",chỗ để xe
": 7,9 tỷ","95 m
2","7,5m",4 lầu,6 phòng ngủ,"Đường Trần Quang Diệu, Phường An Hải Tây, Quận Sơn Trà,",chỗ để xe
": 4,75 tỷ","56 m
2",6m,3 lầu,3 phòng ngủ,"Đường Ỷ Lan Nguyên Phi, Phường Hòa Cường Bắc, Quận Hải Châu,",chỗ để xe
": 6,2 tỷ","100 m
2","5,5m",1 lầu,2 phòng ngủ,"Đường Lê Hữu Trác, Phường An Hải Đông, Quận Sơn Trà,",chỗ để xe
": 9,5 tỷ","71 m
2","7,5m",4 lầu,3 phòng ngủ,"Đường Nguyễn Hoàng, Phường Bình Thuận, Quận Hải Châu,",chỗ để xe
": 10,95 tỷ","105 m
2","7,5m",3 lầu,3 phòng ngủ,"Đường Phạm Cự Lượng, Phường An Hải Đông, Quận Sơn Trà,",chỗ để xe
": 8,7 tỷ","102 m
2",11m,2 lầu,3 phòng ngủ,"Đường Trần Cao Vân, Phường Tam Thuận, Quận Thanh Khê,",chỗ để xe
": 9,25 tỷ","115 m
2",16m,2 lầu,3 phòng ngủ,"Đường Nguyễn Thị Định, Phường An Hải Bắc, Quận Sơn Trà,",chỗ để xe
": 6,1 tỷ","75 m
2","7,5m",2 lầu,3 phòng ngủ,"Đường Đỗ Huy Uyển, Phường An Hải Bắc, Quận Sơn Trà,",chỗ để xe
": 8,5 tỷ","85 m
2","7,5m",3 lầu,5 phòng ngủ,"Đường Đống Đa, Phường Thanh Bình, Quận Hải Châu,",chỗ để xe
": 8,5 tỷ","86 m
2","7,5m",3 lầu,5 phòng ngủ,"Đường Quang Trung, Phường Thạch Thang, Quận Hải Châu,",chỗ để xe
": 3,8 tỷ","55 m
2",4m,2 lầu,3 phòng ngủ,"Đường Lê Hữu Trác, Phường An Hải Đông, Quận Sơn Trà,",chỗ để xe
": 9,3 tỷ","115 m
2",16m,2 lầu,4 phòng ngủ,"Đường Trần Nhân Tông, Phường An Hải Bắc, Quận Sơn Trà,",chỗ để xe
: 6 tỷ,"77 m
2","5,5m",,,"Đường Mỹ Khê, Phường An Hải Đông, Quận Sơn Trà,",0
": 4,05 tỷ","45 m
2",5m,4 lầu,4 phòng ngủ,"Đường Lê Đình Lý, Phường Vĩnh Trung, Quận Thanh Khê,",chỗ để xe
": 4,899 tỷ","76 m
2",4m,2 lầu,3 phòng ngủ,"Đường Bà Huyện Thanh Quan, Phường Mỹ An, Quận Ngũ Hành Sơn,",0
": 2,98 tỷ","60 m
2",3m,2 lầu,3 phòng ngủ,"Đường Nguyễn Công Trứ, Phường An Hải Bắc, Quận Sơn Trà,",0
": 5,2 tỷ","73 m
2",3m,3 lầu,4 phòng ngủ,"Đường Lý Tự Trọng, Phường Thạch Thang, Quận Hải Châu,",0
": 5,5 tỷ","80 m
2",3m,2 lầu,3 phòng ngủ,"Đường Lê Hồng Phong, Phường Phước Ninh, Quận Hải Châu,",0
": 3,5 tỷ","60 m
2",4m,3 lầu,3 phòng ngủ,"Đường Lê Tấn Trung., Phường Thọ Quang, Quận Sơn Trà,",0
": 3,55 tỷ","93 m
2",3m,2 lầu,3 phòng ngủ,"Đường Yên Khê 2, Phường Thanh Khê Tây, Quận Thanh Khê,",0
": 3,8 tỷ","50 m
2",6m,2 lầu,2 phòng ngủ,"Đường Tiểu La, Phường Hòa Cường Bắc, Quận Hải Châu,",0
": 2,9 tỷ","76 m
2",4m,1 lầu,1 phòng ngủ,"Đường Nguyễn Công Trứ, Phường An Hải Tây, Quận Sơn Trà,",0
